contentType,title,abstract,abstract_google_cn,affiliations,authorization,authors,citation_text,count_accesses,count_altmetric,count_citations,documentType,doi,doi_url,focus,issue,journal_pcode,journal_title,publishedAt,publishedAtString,subjects,url,volume
thesis,Compare and contrast as microscopes get up close and personal,,,"[{'address': 'Chris Toumey is at the University of South Carolina NanoCenter.', 'authors': ['Chris Toumey']}]",False,['Chris Toumey'],"Toumey, C. Compare and contrast as microscopes get up close and personal. Nature Nanotech6, 191–193 (2011).",59,1,4,aplusplus,10.1038/nnano.2011.55,https://doi.org/10.1038/nnano.2011.55,,4,nnano,nature nanotechnology,1302048000,2011-04-06,microscopy;nanometrology,https://www.nature.com/articles/nnano.2011.55,6
research highlights,Our choice from the recent literature,,,[],True,[],"Our choice from the recent literature. Nature Nanotech6, 194 (2011).",9,0,0,aplusplus,10.1038/nnano.2011.59,https://doi.org/10.1038/nnano.2011.59,,4,nnano,nature nanotechnology,1302048000,2011-04-06,nanoscience-and-technology,https://www.nature.com/articles/nnano.2011.59,6
news & views,A new look for nanopore sensing,,,"[{'address': 'Tim Albrecht is in the Department of Chemistry, Imperial College London, Exhibition Road, London SW7 2AZ, UK.', 'authors': ['Tim Albrecht']}]",False,['Tim Albrecht'],"Albrecht, T. A new look for nanopore sensing. Nature Nanotech6, 195–196 (2011).",77,3,15,aplusplus,10.1038/nnano.2011.52,https://doi.org/10.1038/nnano.2011.52,,4,nnano,nature nanotechnology,1302048000,2011-04-06,nanopores;nanosensors,https://www.nature.com/articles/nnano.2011.52,6
news & views,Making light of electrons,,,"[{'address': 'David Goldhaber-Gordon is in the Department of Physics and Geballe Laboratory for Advanced Materials, Stanford University, 476 Lomita Mall, Stanford, California 94305, USA, and at the Weizmann Institute of Science, Rehovot 76100, Israel.', 'authors': ['David Goldhaber-Gordon']}]",False,['David Goldhaber-Gordon'],"Goldhaber-Gordon, D. Making light of electrons. Nature Nanotech6, 196–197 (2011).",25,0,0,aplusplus,10.1038/nnano.2011.53,https://doi.org/10.1038/nnano.2011.53,,4,nnano,nature nanotechnology,1302048000,2011-04-06,electronic-properties-and-devices;fibre-optics-and-optical-communications;graphene,https://www.nature.com/articles/nnano.2011.53,6
news & views,A topological twist for transistors,,,"[{'address': 'Qi-Kun Xue is in the Department of Physics, Tsinghua University, Beijing, 100084 China.', 'authors': ['Qi-Kun Xue']}]",False,['Qi-Kun Xue'],"Xue, Q. A topological twist for transistors. Nature Nanotech6, 197–198 (2011).",150,0,24,aplusplus,10.1038/nnano.2011.47,https://doi.org/10.1038/nnano.2011.47,,4,nnano,nature nanotechnology,1302048000,2011-04-06,electronic-properties-and-materials,https://www.nature.com/articles/nnano.2011.47,6
news & views,DNA spintronics sees the light,,,"[{'address': 'Massimiliano Di Ventra is in the Department of Physics, University of California, San Diego, La Jolla, California 92093, USA', 'authors': ['Massimiliano Di Ventra']}, {'address': 'Yuriy V. Pershin is in the Department of Physics and Astronomy and the USC Nanocenter, University of South Carolina, Columbia, South Carolina 29208, USA.', 'authors': ['Yuriy V. Pershin']}]",False,"['Massimiliano Di Ventra', 'Yuriy V. Pershin']","Di Ventra, M., Pershin, Y. DNA spintronics sees the light. Nature Nanotech6, 198–199 (2011).",107,0,6,aplusplus,10.1038/nnano.2011.48,https://doi.org/10.1038/nnano.2011.48,,4,nnano,nature nanotechnology,1302048000,2011-04-06,dna-nanotechnology;spintronics,https://www.nature.com/articles/nnano.2011.48,6
news & views,Localization on the nanoscale,,,"[{'address': 'Takeshi Egami is at the University of Tennessee, Knoxville, Tennessee 37996, USA, and the Oak Ridge National Laboratory, Oak Ridge, Tennessee 37831, USA.', 'authors': ['Takeshi Egami']}]",False,['Takeshi Egami'],"Egami, T. Localization on the nanoscale. Nature Nanotech6, 199–200 (2011).",17,0,3,aplusplus,10.1038/nnano.2011.51,https://doi.org/10.1038/nnano.2011.51,,4,nnano,nature nanotechnology,1302048000,2011-04-06,electronic-properties-and-materials;nanoparticles,https://www.nature.com/articles/nnano.2011.51,6
news & views,Exfoliating the inorganics,,,"[{'address': 'Dmitri Golberg is in the International Center for Materials Nanoarchitectonics (MANA), National Institute for Materials Science (NIMS), Namiki 1-1, Tsukuba, Ibaraki 3050044, Japan.', 'authors': ['Dmitri Golberg']}]",False,['Dmitri Golberg'],"Golberg, D. Exfoliating the inorganics. Nature Nanotech6, 200–201 (2011).",60,0,20,aplusplus,10.1038/nnano.2011.57,https://doi.org/10.1038/nnano.2011.57,,4,nnano,nature nanotechnology,1302048000,2011-04-06,organic-inorganic-nanostructures;synthesis-and-processing,https://www.nature.com/articles/nnano.2011.57,6
review article,Comparative advantages of mechanical biosensors,"<p>Mechanical interactions are fundamental to biology. Mechanical forces of chemical origin determine motility and adhesion on the cellular scale, and govern transport and affinity on the molecular scale. Biological sensing in the mechanical domain provides unique opportunities to measure forces, displacements and mass changes from cellular and subcellular processes. Nanomechanical systems are particularly well matched in size with molecular interactions, and provide a basis for biological probes with single-molecule sensitivity. Here we review micro- and nanoscale biosensors, with a particular focus on fast mechanical biosensing in fluid by mass- and force-based methods, and the challenges presented by non-specific interactions. We explain the general issues that will be critical to the success of any type of next-generation mechanical biosensor, such as the need to improve intrinsic device performance, fabrication reproducibility and system integration. We also discuss the need for a greater understanding of analyte&#8211;sensor interactions on the nanoscale and of stochastic processes in the sensing environment.</p>",,"[{'address': 'Kavli Nanoscience Institute and Departments of Physics, Applied Physics, and Bioengineering, California Institute of Technology, MC 149-33 Pasadena, 91125, California, USA', 'authors': ['J.L. Arlett', ',\xa0E.B. Myers', '\xa0&\xa0M.L. Roukes']}]",False,"['J.L. Arlett', 'E.B. Myers', 'M.L. Roukes']","Arlett, J., Myers, E. & Roukes, M. Comparative advantages of mechanical biosensors. Nature Nanotech6, 203–215 (2011).",1646,19,578,aplusplus,10.1038/nnano.2011.44,https://doi.org/10.1038/nnano.2011.44,,4,nnano,nature nanotechnology,1301184000,2011-03-27,biosensors;nems,https://www.nature.com/articles/nnano.2011.44,6
letter,Manipulating surface states in topological insulator nanoribbons,"<p>Topological insulators display unique properties, such as the quantum spin Hall effect, because time-reversal symmetry allows charges and spins to propagate along the edge or surface of the topological insulator without scattering. However, the direct manipulation of these edge/surface states is difficult because they are significantly outnumbered by bulk carriers. Here, we report experimental evidence for the modulation of these surface states by using a gate voltage to control quantum oscillations in Bi<sub>2</sub>Te<sub>3</sub> nanoribbons. Surface conduction can be significantly enhanced by the gate voltage, with the mobility and Fermi velocity reaching values as high as ~5,800&#160;cm<sup>2</sup>&#160;V<sup>&#8722;1</sup>&#160;s<sup>&#8722;1</sup> and ~3.7&#160;&#215;&#160;10<sup>5</sup>&#160;m&#160;s<sup>&#8722;1</sup>, respectively, with up to ~51% of the total conductance being due to the surface states. We also report the first observation of h/2e periodic oscillations, suggesting the presence of time-reversed paths with the same relative zero phase at the interference point. The high surface conduction and ability to manipulate the surface states demonstrated here could lead to new applications in nanoelectronics and spintronics.</p>",,"[{'address': 'Department of Electrical Engineering, University of California, Los Angeles, 90095, California, USA', 'authors': ['Faxian Xiu', ',\xa0Liang He', ',\xa0Yong Wang', ',\xa0Li-Te Chang', ',\xa0Murong Lang', ',\xa0Guan Huang', ',\xa0Xufeng Kou', ',\xa0Yi Zhou', ',\xa0Xiaowei Jiang', '\xa0&\xa0Kang L. Wang']}, {'address': 'Materials Engineering and Centre for Microscopy and Microanalysis, The University of Queensland, Brisbane, 4072, Queensland, Australia', 'authors': ['Yong Wang', ',\xa0Lina Cheng', ',\xa0Zhigang Chen', '\xa0&\xa0Jin Zou']}, {'address': 'California Nanosystems Institute, University of California, Los Angeles, 90095, California, USA', 'authors': ['Alexandros Shailos']}]",False,"['Faxian Xiu', 'Liang He', 'Yong Wang', 'Lina Cheng', 'Li-Te Chang', 'Murong Lang', 'Guan Huang', 'Xufeng Kou', 'Yi Zhou', 'Xiaowei Jiang', 'Zhigang Chen', 'Jin Zou', 'Alexandros Shailos', 'Kang L. Wang']","Xiu, F., He, L., Wang, Y. et al. Manipulating surface states in topological insulator nanoribbons. Nature Nanotech6, 216–221 (2011).",946,4,312,aplusplus,10.1038/nnano.2011.19,https://doi.org/10.1038/nnano.2011.19,,4,nnano,nature nanotechnology,1297555200,2011-02-13,electronic-properties-and-materials;structural-properties,https://www.nature.com/articles/nnano.2011.19,6
