contentType,title,abstract,affiliations,authorization,authors,citation_text,count_accesses,count_altmetric,count_citations,documentType,doi,doi_url,focus,issue,journal_pcode,journal_title,publishedAt,publishedAtString,subjects,url,volume
editorial,Bringing solar cell efficiencies into the light,,[],True,[],"Bringing solar cell efficiencies into the light. Nature Nanotech9, 657 (2014).",416,4,13,aplusplus,10.1038/nnano.2014.206,https://doi.org/10.1038/nnano.2014.206,,9,nnano,nature nanotechnology,1409702400,2014-09-03,optoelectronic-devices-and-components,https://www.nature.com/articles/nnano.2014.206,9
thesis,"Old materials, new challenges?",,[],False,"[""Andrew D. Maynard""]","Maynard, A. Old materials, new challenges?. Nature Nanotech9, 658–659 (2014).",119,12,22,aplusplus,10.1038/nnano.2014.196,https://doi.org/10.1038/nnano.2014.196,,9,nnano,nature nanotechnology,1409702400,2014-09-03,environmental-health-and-safety-issues,https://www.nature.com/articles/nnano.2014.196,9
correction,Correction,,[],True,[],"Correction. Nature Nanotech9, 660 (2014).",41,1,0,aplusplus,10.1038/nnano.2014.192,https://doi.org/10.1038/nnano.2014.192,,9,nnano,nature nanotechnology,1409702400,2014-09-03,,https://www.nature.com/articles/nnano.2014.192,9
research highlights,Our choice from the recent literature,,[],True,[],"Our choice from the recent literature. Nature Nanotech9, 660 (2014).",35,3,0,aplusplus,10.1038/nnano.2014.201,https://doi.org/10.1038/nnano.2014.201,,9,nnano,nature nanotechnology,1409702400,2014-09-03,carbon-nanotubes-and-fullerenes;nanomedicine;nanophotonics-and-plasmonics;photocatalysis;quantum-dots,https://www.nature.com/articles/nnano.2014.201,9
news & views,Shifting gears with light,,[],True,"[""Samara L. Reck-Peterson""]","Reck-Peterson, S. Shifting gears with light. Nature Nanotech9, 661–662 (2014).",69,3,0,aplusplus,10.1038/nnano.2014.188,https://doi.org/10.1038/nnano.2014.188,,9,nnano,nature nanotechnology,1409702400,2014-09-03,molecular-machines-and-motors,https://www.nature.com/articles/nnano.2014.188,9
news & views,Electrons act constructively,,[],True,"[""Tomas Jungwirth"", ""J\u00f6rg Wunderlich""]","Jungwirth, T., Wunderlich, J. Electrons act constructively. Nature Nanotech9, 662–664 (2014).",68,3,3,aplusplus,10.1038/nnano.2014.185,https://doi.org/10.1038/nnano.2014.185,,9,nnano,nature nanotechnology,1409702400,2014-09-03,spintronics,https://www.nature.com/articles/nnano.2014.185,9
news & views,Atomically thin p–n junctions,,[],True,"[""Su-Fei Shi"", ""Feng Wang""]","Shi, SF., Wang, F. Atomically thin p–n junctions. Nature Nanotech9, 664–665 (2014).",497,56,14,aplusplus,10.1038/nnano.2014.186,https://doi.org/10.1038/nnano.2014.186,,9,nnano,nature nanotechnology,1409702400,2014-09-03,two-dimensional-materials,https://www.nature.com/articles/nnano.2014.186,9
letter,Electrical control of a long-lived spin qubit in a Si/SiGe quantum dot,,[],False,"[""E. Kawakami"", ""P. Scarlino"", ""D. R. Ward"", ""F. R. Braakman"", ""D. E. Savage"", ""M. G. Lagally"", ""Mark Friesen"", ""S. N. Coppersmith"", ""M. A. Eriksson"", ""L. M. K. Vandersypen""]","Kawakami, E., Scarlino, P., Ward, D. et al. Electrical control of a long-lived spin qubit in a Si/SiGe quantum dot. Nature Nanotech9, 666–670 (2014).",3234,22,264,aplusplus,10.1038/nnano.2014.153,https://doi.org/10.1038/nnano.2014.153,,9,nnano,nature nanotechnology,1407628800,2014-08-10,quantum-information;qubits,https://www.nature.com/articles/nnano.2014.153,9
letter,Manipulation of the nuclear spin ensemble in a quantum dot with chirped magnetic resonance pulses,,[],False,"[""Mathieu Munsch"", ""Gunter W\u00fcst"", ""Andreas V. Kuhlmann"", ""Fei Xue"", ""Arne Ludwig"", ""Dirk Reuter"", ""Andreas D. Wieck"", ""Martino Poggio"", ""Richard J. Warburton""]","Munsch, M., Wüst, G., Kuhlmann, A. et al. Manipulation of the nuclear spin ensemble in a quantum dot with chirped magnetic resonance pulses. Nature Nanotech9, 671–675 (2014).",244,29,24,aplusplus,10.1038/nnano.2014.175,https://doi.org/10.1038/nnano.2014.175,,9,nnano,nature nanotechnology,1408838400,2014-08-24,nanoscience-and-technology,https://www.nature.com/articles/nnano.2014.175,9
letter,Atomically thin p–n junctions with van der Waals heterointerfaces,,[],False,"[""Chul-Ho Lee"", ""Gwan-Hyoung Lee"", ""Arend M. van der Zande"", ""Wenchao Chen"", ""Yilei Li"", ""Minyong Han"", ""Xu Cui"", ""Ghidewon Arefe"", ""Colin Nuckolls"", ""Tony F. Heinz"", ""Jing Guo"", ""James Hone"", ""Philip Kim""]","Lee, CH., Lee, GH., van der Zande, A. et al. Atomically thin p–n junctions with van der Waals heterointerfaces. Nature Nanotech9, 676–681 (2014).",11000,36,1300,aplusplus,10.1038/nnano.2014.150,https://doi.org/10.1038/nnano.2014.150,,9,nnano,nature nanotechnology,1407628800,2014-08-10,electronic-devices;electronic-properties-and-materials;two-dimensional-materials,https://www.nature.com/articles/nnano.2014.150,9
