contentType,title,abstract,abstract_google_cn,affiliations,authorization,authors,citation_text,count_accesses,count_altmetric,count_citations,documentType,doi,doi_url,focus,issue,journal_pcode,journal_title,publishedAt,publishedAtString,subjects,url,volume
editorial,A different view of the environment,,,[],True,[],"A different view of the environment. Nature Nanotech13, 177 (2018).",526,15,0,aplusplus,10.1038/s41565-018-0106-2,https://doi.org/10.1038/s41565-018-0106-2,,3,nnano,nature nanotechnology,1520294400,2018-03-06,ecotoxicology;environmental-health-and-safety-issues,https://www.nature.com/articles/s41565-018-0106-2,13
research highlight,Crystal casting,,,"[{'address': 'Nature Nanotechnology', 'authors': ['Olga Bubnova']}]",True,['Olga Bubnova'],"Bubnova, O. Crystal casting. Nature Nanotech13, 178 (2018).",98,1,0,aplusplus,10.1038/s41565-018-0098-y,https://doi.org/10.1038/s41565-018-0098-y,,3,nnano,nature nanotechnology,1520294400,2018-03-06,materials-for-devices;nanoscale-materials,https://www.nature.com/articles/s41565-018-0098-y,13
research highlight,Twofold topology,,,"[{'address': 'Nature Nanotechnology', 'authors': ['Benjamin Heinrich']}]",True,['Benjamin Heinrich'],"Heinrich, B. Twofold topology. Nature Nanotech13, 178 (2018).",99,1,0,aplusplus,10.1038/s41565-018-0099-x,https://doi.org/10.1038/s41565-018-0099-x,,3,nnano,nature nanotechnology,1520294400,2018-03-06,magnetic-properties-and-materials,https://www.nature.com/articles/s41565-018-0099-x,13
research highlight,A frustrated solution,,,"[{'address': 'Nature Nanotechnology', 'authors': ['Alberto Moscatelli']}]",True,['Alberto Moscatelli'],"Moscatelli, A. A frustrated solution. Nature Nanotech13, 178 (2018).",64,1,0,aplusplus,10.1038/s41565-018-0100-8,https://doi.org/10.1038/s41565-018-0100-8,,3,nnano,nature nanotechnology,1520294400,2018-03-06,batteries,https://www.nature.com/articles/s41565-018-0100-8,13
research highlight,A reversible morphology,,,"[{'address': 'Nature Nanotechnology', 'authors': ['Alberto Moscatelli']}]",True,['Alberto Moscatelli'],"Moscatelli, A. A reversible morphology. Nature Nanotech13, 178 (2018).",126,1,0,aplusplus,10.1038/s41565-018-0101-7,https://doi.org/10.1038/s41565-018-0101-7,,3,nnano,nature nanotechnology,1520294400,2018-03-06,electrocatalysis,https://www.nature.com/articles/s41565-018-0101-7,13
news & views,Imaging the rainbow,,,"[{'address': 'Department of Physics, University of Paderborn, Paderborn, Germany', 'authors': ['Thomas Zentgraf']}]",False,['Thomas Zentgraf'],"Zentgraf, T. Imaging the rainbow. Nature Nanotech13, 179–180 (2018).",356,14,2,aplusplus,10.1038/s41565-018-0062-x,https://doi.org/10.1038/s41565-018-0062-x,,3,nnano,nature nanotechnology,1517184000,2018-01-29,metamaterials,https://www.nature.com/articles/s41565-018-0062-x,13
news & views,Searching for materials with reduced dimension,,,"[{'address': 'Department of Physics and Astronomy, Uppsala University, Uppsala, Sweden', 'authors': ['Olle Eriksson']}, {'address': 'School of Science and Technology, Örebro University, Örebro, Sweden', 'authors': ['Olle Eriksson']}]",False,['Olle Eriksson'],"Eriksson, O. Searching for materials with reduced dimension. Nature Nanotech13, 180–181 (2018).",548,2,4,aplusplus,10.1038/s41565-017-0060-4,https://doi.org/10.1038/s41565-017-0060-4,,3,nnano,nature nanotechnology,1517788800,2018-02-05,two-dimensional-materials,https://www.nature.com/articles/s41565-017-0060-4,13
news & views,Light touch,,,"[{'address': 'Center for Nano Science and Technology, Istituto Italiano di Tecnologia, Milan, Italy', 'authors': ['Guglielmo Lanzani']}, {'address': 'Department of Physics, Politecnico di Milano, Milan, Italy', 'authors': ['Guglielmo Lanzani']}]",False,['Guglielmo Lanzani'],"Lanzani, G. Light touch. Nature Nanotech13, 181–182 (2018).",190,2,2,aplusplus,10.1038/s41565-018-0081-7,https://doi.org/10.1038/s41565-018-0081-7,,3,nnano,nature nanotechnology,1518998400,2018-02-19,bionanoelectronics;nanowires,https://www.nature.com/articles/s41565-018-0081-7,13
perspective,Quantum engineering of transistors based on 2D materials heterostructures,,,"[{'address': 'Dipartimento di Ingegneria dell’Informazione, Università di Pisa, Pisa, Italy', 'authors': ['Giuseppe Iannaccone', '\xa0&\xa0Gianluca Fiori']}, {'address': 'Istituto Italiano di tecnologia, Graphene Labs, Genova, Italy', 'authors': ['Francesco Bonaccorso']}, {'address': 'Materials Science and Engineering, University of Texas at Dallas, Richardson, TX, USA', 'authors': ['Luigi Colombo']}]",False,"['Giuseppe Iannaccone', 'Francesco Bonaccorso', 'Luigi Colombo', 'Gianluca Fiori']","Iannaccone, G., Bonaccorso, F., Colombo, L. et al. Quantum engineering of transistors based on 2D materials heterostructures. Nature Nanotech13, 183–191 (2018).",5900,7,83,aplusplus,10.1038/s41565-018-0082-6,https://doi.org/10.1038/s41565-018-0082-6,,3,nnano,nature nanotechnology,1520294400,2018-03-06,materials-for-devices;materials-science,https://www.nature.com/articles/s41565-018-0082-6,13
letter,Ballistic Majorana nanowire devices,"<p>Majorana modes are zero-energy excitations of a topological superconductor that exhibit non-Abelian statistics. Following proposals for their detection in a semiconductor nanowire coupled to an s-wave superconductor, several tunnelling experiments reported characteristic Majorana signatures. Reducing disorder has been a prime challenge for these experiments because disorder can mimic the zero-energy signatures of Majoranas, and renders the topological properties inaccessible. Here, we show characteristic Majorana signatures in InSb nanowire devices exhibiting clear ballistic transport properties. Application of a magnetic field and spatial control of carrier density using local gates generates a zero bias peak that is rigid over a large region in the parameter space of chemical potential, Zeeman energy and tunnel barrier potential. The reduction of disorder allows us to resolve separate regions in the parameter space with and without a zero bias peak, indicating topologically distinct phases. These observations are consistent with the Majorana theory in a ballistic system, and exclude the known alternative explanations that invoke disorder or a nonuniform chemical potential.</p>",,"[{'address': 'QuTech and Kavli Institute of Nanoscience, Delft University of Technology, Delft, The Netherlands', 'authors': ['Önder Gül', ',\xa0Hao Zhang', ',\xa0Jouri D. S. Bommer', ',\xa0Michiel W. A. de Moor', ',\xa0Erik P. A. M. Bakkers', ',\xa0Attila Geresdi', '\xa0&\xa0Leo P. Kouwenhoven']}, {'address': 'Department of Applied Physics, Eindhoven University of Technology, Eindhoven, The Netherlands', 'authors': ['Diana Car', ',\xa0Sébastien R. Plissard', '\xa0&\xa0Erik P. A. M. Bakkers']}, {'address': 'Advanced Materials Laboratory, National Institute for Materials Science, Tsukuba, Japan', 'authors': ['Kenji Watanabe', '\xa0&\xa0Takashi Taniguchi']}, {'address': 'Microsoft Station Q Delft, Delft, The Netherlands', 'authors': ['Leo P. Kouwenhoven']}]",False,"['Önder Gül', 'Hao Zhang', 'Jouri D. S. Bommer', 'Michiel W. A. de Moor', 'Diana Car', 'Sébastien R. Plissard', 'Erik P. A. M. Bakkers', 'Attila Geresdi', 'Kenji Watanabe', 'Takashi Taniguchi', 'Leo P. Kouwenhoven']","Gül, Ö., Zhang, H., Bommer, J.D.S. et al. Ballistic Majorana nanowire devices. Nature Nanotech13, 192–197 (2018).",4230,28,107,aplusplus,10.1038/s41565-017-0032-8,https://doi.org/10.1038/s41565-017-0032-8,,3,nnano,nature nanotechnology,1515974400,2018-01-15,nanowires;quantum-information;superconducting-properties-and-materials,https://www.nature.com/articles/s41565-017-0032-8,13
