contentType,title,abstract,abstract_google_cn,affiliations,authorization,authors,citation_text,count_accesses,count_altmetric,count_citations,documentType,doi,doi_url,focus,issue,journal_pcode,journal_title,publishedAt,publishedAtString,subjects,url,volume
editorial,Made in America,,,[],True,[],"Made in America. Nature Photon9, 549 (2015).",51,12,0,aplusplus,10.1038/nphoton.2015.174,https://doi.org/10.1038/nphoton.2015.174,,9,nphoton,nature photonics,1440633600,2015-08-27,business-and-industry;integrated-optics,https://www.nature.com/articles/nphoton.2015.174,9
commentary,SESAME for science and peace,,,"[{""address"": ""Chris Llewellyn Smith is the President of the SESAME Council and Director of Energy Research, Oxford University. He was the Director General of CERN from 1994\u20131998, when the Large Hadron Collider was approved and construction started"", ""authors"": [""Chris Llewellyn Smith""]}]",False,"[""Chris Llewellyn Smith""]","Smith, C. SESAME for science and peace. Nature Photon9, 550–552 (2015).",18,2,6,aplusplus,10.1038/nphoton.2015.157,https://doi.org/10.1038/nphoton.2015.157,,9,nphoton,nature photonics,1440633600,2015-08-27,bone;lasers-leds-and-light-sources;optics-and-photonics;physical-sciences,https://www.nature.com/articles/nphoton.2015.157,9
research highlights,Ultrasonic lens,,,[],True,"[""Rachel Won""]","Won, R. Ultrasonic lens. Nature Photon9, 553 (2015).",50,0,0,aplusplus,10.1038/nphoton.2015.168,https://doi.org/10.1038/nphoton.2015.168,,9,nphoton,nature photonics,1440633600,2015-08-27,optical-imaging;three-dimensional-imaging;ultrasound,https://www.nature.com/articles/nphoton.2015.168,9
research highlights,Hybrid interference,,,[],True,"[""David Pile""]","Pile, D. Hybrid interference. Nature Photon9, 553 (2015).",19,0,0,aplusplus,10.1038/nphoton.2015.169,https://doi.org/10.1038/nphoton.2015.169,,9,nphoton,nature photonics,1440633600,2015-08-27,nonlinear-optics;spectroscopy,https://www.nature.com/articles/nphoton.2015.169,9
research highlights,Magneto measurements,,,[],True,"[""Noriaki Horiuchi""]","Horiuchi, N. Magneto measurements. Nature Photon9, 553 (2015).",34,0,0,aplusplus,10.1038/nphoton.2015.170,https://doi.org/10.1038/nphoton.2015.170,,9,nphoton,nature photonics,1440633600,2015-08-27,spectroscopy;spintronics;terahertz-optics,https://www.nature.com/articles/nphoton.2015.170,9
research highlights,Winding polaritons,,,[],False,"[""David Pile""]","Pile, D. Winding polaritons. Nature Photon9, 553 (2015).",26,0,0,aplusplus,10.1038/nphoton.2015.171,https://doi.org/10.1038/nphoton.2015.171,,9,nphoton,nature photonics,1440633600,2015-08-27,magneto-optics;topological-matter,https://www.nature.com/articles/nphoton.2015.171,9
research highlights,Artificial magnetic fields,,,[],True,"[""Oliver Graydon""]","Graydon, O. Artificial magnetic fields. Nature Photon9, 553 (2015).",44,0,0,aplusplus,10.1038/nphoton.2015.172,https://doi.org/10.1038/nphoton.2015.172,,9,nphoton,nature photonics,1440633600,2015-08-27,optical-materials-and-structures;photonic-crystals,https://www.nature.com/articles/nphoton.2015.172,9
news & views,Visible light from inelastic tunnelling,,,"[{""address"": ""Kasey J. Russell is at the School of Engineering and Applied Sciences at Harvard University, Cambridge, Massachusetts 02138, USA"", ""authors"": [""Kasey J. Russell""]}]",False,"[""Kasey J. Russell""]","Russell, K. Visible light from inelastic tunnelling. Nature Photon9, 555–556 (2015).",31,6,2,aplusplus,10.1038/nphoton.2015.155,https://doi.org/10.1038/nphoton.2015.155,,9,nphoton,nature photonics,1440633600,2015-08-27,nanophotonics-and-plasmonics;optoelectronic-devices-and-components,https://www.nature.com/articles/nphoton.2015.155,9
news & views,Turning the tables on nonlinearity,,,"[{""address"": ""Stojan Radic is at the Qualcomm Institute, University of California San Diego, La Jolla, California 92130, USA"", ""authors"": [""Stojan Radic""]}]",False,"[""Stojan Radic""]","Radic, S. Turning the tables on nonlinearity. Nature Photon9, 556–558 (2015).",50,0,0,aplusplus,10.1038/nphoton.2015.163,https://doi.org/10.1038/nphoton.2015.163,,9,nphoton,nature photonics,1440633600,2015-08-27,fibre-optics-and-optical-communications;nonlinear-optics,https://www.nature.com/articles/nphoton.2015.163,9
news & views,Magnetic opportunities,,,[],True,"[""Oliver Graydon""]","Graydon, O. Magnetic opportunities. Nature Photon9, 558 (2015).",43,0,3,aplusplus,10.1038/nphoton.2015.167,https://doi.org/10.1038/nphoton.2015.167,,9,nphoton,nature photonics,1440633600,2015-08-27,materials-for-optics;sensors-and-biosensors,https://www.nature.com/articles/nphoton.2015.167,9
news & views,Cellular lasers,,,"[{""address"": ""David McGloin is at the School of Engineering, Physics and Mathematics, University of Dundee, Nethergate, Dundee DD1 4HN, UK"", ""authors"": [""David McGloin""]}]",False,"[""David McGloin""]","McGloin, D. Cellular lasers. Nature Photon9, 559–560 (2015).",186,3,3,aplusplus,10.1038/nphoton.2015.158,https://doi.org/10.1038/nphoton.2015.158,,9,nphoton,nature photonics,1440633600,2015-08-27,biophotonics;lasers-leds-and-light-sources,https://www.nature.com/articles/nphoton.2015.158,9
