contentType,title,abstract,abstract_google_cn,affiliations,authorization,authors,citation_text,count_accesses,count_altmetric,count_citations,documentType,doi,doi_url,focus,issue,journal_pcode,journal_title,publishedAt,publishedAtString,subjects,url,volume
news & views,Quantum dots on demand,,,"[{""address"": ""Beijing Institute of Technology, Beijing, China"", ""authors"": [""Haizheng Zhong"", ""\u00a0&\u00a0Yongtian Wang""]}]",False,"[""Haizheng Zhong"", ""Yongtian Wang""]","Zhong, H., Wang, Y. Quantum dots on demand. Nat. Photonics14, 65–66 (2020).",1258,0,0,aplusplus,10.1038/s41566-019-0579-z,https://doi.org/10.1038/s41566-019-0579-z,,2,nphoton,nature photonics,1580256000,2020-01-29,optical-data-storage;quantum-dots,https://www.nature.com/articles/s41566-019-0579-z,14
news & views,Efficient thermophotovoltaics,,,"[{""address"": ""Nature Photonics"", ""authors"": [""Noriaki Horiuchi""]}]",True,"[""Noriaki Horiuchi""]","Horiuchi, N. Efficient thermophotovoltaics. Nat. Photonics14, 66 (2020).",712,0,0,aplusplus,10.1038/s41566-020-0585-1,https://doi.org/10.1038/s41566-020-0585-1,,2,nphoton,nature photonics,1580256000,2020-01-29,mid-infrared-photonics;photonic-crystals;silicon-photonics;solar-energy-and-photovoltaic-technology,https://www.nature.com/articles/s41566-020-0585-1,14
news & views,Scaling down quantitative phase imaging,,,"[{""address"": ""Department of Physics, Korea Advanced Institute of Science and Technology (KAIST), Daejeon, Republic of Korea"", ""authors"": [""YoonSeok Baek"", ""\u00a0&\u00a0YongKeun Park""]}, {""address"": ""KAIST Institute for Health Science and Technology, Daejeon, Republic of Korea"", ""authors"": [""YoonSeok Baek"", ""\u00a0&\u00a0YongKeun Park""]}, {""address"": ""Tomocube Inc., Daejeon, Republic of Korea"", ""authors"": [""YongKeun Park""]}]",False,"[""YoonSeok Baek"", ""YongKeun Park""]","Baek, Y., Park, Y. Scaling down quantitative phase imaging. Nat. Photonics14, 67–68 (2020).",1123,3,0,aplusplus,10.1038/s41566-019-0552-x,https://doi.org/10.1038/s41566-019-0552-x,,2,nphoton,nature photonics,1580256000,2020-01-29,imaging-and-sensing;integrated-optics;metamaterials;microscopy,https://www.nature.com/articles/s41566-019-0552-x,14
news & views,Optical circuits cross dimensions,,,"[{""address"": ""Universit\u00e9 de Lille, CNRS, UMR 8523 \u2013 PhLAM \u2013 Physique des Lasers, Atomes et Mol\u00e9cules, Lille, France"", ""authors"": [""Alberto Amo""]}, {""address"": ""Institute for Theoretical Physics, ETH Zurich, Zurich, Switzerland"", ""authors"": [""Oded Zilberberg""]}]",False,"[""Alberto Amo"", ""Oded Zilberberg""]","Amo, A., Zilberberg, O. Optical circuits cross dimensions. Nat. Photonics14, 68–69 (2020).",847,3,0,aplusplus,10.1038/s41566-019-0578-0,https://doi.org/10.1038/s41566-019-0578-0,,2,nphoton,nature photonics,1580256000,2020-01-29,optical-materials-and-structures;optical-physics,https://www.nature.com/articles/s41566-019-0578-0,14
letter,Triplet management for efficient perovskite light-emitting diodes,"<p>Perovskite light-emitting diodes are promising for next-generation lighting and displays because of their high colour purity and performance. Although the management of singlet and triplet excitons is fundamental to the design of efficient organic light-emitting diodes, the nature of how excitons affect performance is still not clear in perovskite and quasi-two-dimensional (2D) perovskite-based devices. Here, we show that triplet excitons are key to efficient emission in green quasi-2D perovskite devices and that quenching of triplets by the organic cation is a major loss path. Employing an organic cation with a high triplet energy level (phenylethylammonium) in a quasi-2D perovskite based on formamidinium lead bromide yields efficient harvesting of triplets. Furthermore, we show that upconversion of triplets to singlets can occur, making 100% harvesting of electrically generated excitons potentially possible. The external quantum and current efficiencies of our green (527&#8201;nm) devices reached 12.4% and 52.1&#8201;cd&#8201;A<sup>&#8722;1</sup>, respectively.</p>",,"[{""address"": ""Center for Organic Photonics and Electronics Research (OPERA), c/o Japan Science and Technology Agency (JST), ERATO, Adachi Molecular Exciton Engineering Project, Kyushu University, Fukuoka, Japan"", ""authors"": [""Chuanjiang Qin"", "",\u00a0Toshinori Matsushima"", "",\u00a0William J. Potscavage Jr"", "",\u00a0Atula S. D. Sandanayaka"", "",\u00a0Matthew R. Leyden"", "",\u00a0Fatima Bencheikh"", "",\u00a0Kenichi Goushi"", ""\u00a0&\u00a0Chihaya Adachi""]}, {""address"": ""State Key Laboratory of Polymer Physics and Chemistry, Changchun Institute of Applied Chemistry (CIAC), Chinese Academy of Sciences, Changchun, China"", ""authors"": [""Chuanjiang Qin""]}, {""address"": ""International Institute for Carbon-Neutral Energy Research (WPI-I2CNER), Kyushu University, Fukuoka, Japan"", ""authors"": [""Toshinori Matsushima"", "",\u00a0Kenichi Goushi"", ""\u00a0&\u00a0Chihaya Adachi""]}, {""address"": ""Sorbonne Universit\u00e9, Institut Parisien de Chimie Mol\u00e9culaire, UMR 8232, Chimie des Polym\u00e8res, Paris, France"", ""authors"": [""Fabrice Mathevet""]}, {""address"": ""Institut de Physique et Chimie des Mat\u00e9riaux de Strasbourg, UMR 7504, CNRS \u2013 Universit\u00e9 de Strasbourg, Strasbourg, France"", ""authors"": [""Beno\u00eet Heinrich""]}, {""address"": ""Institute for Chemical Research, Kyoto University, Kyoto, Japan"", ""authors"": [""Go Yumoto"", ""\u00a0&\u00a0Yoshihiko Kanemitsu""]}, {""address"": ""Innovative Organic Device Laboratory, Institute of Systems, Information Technologies and Nano-technologies (ISIT), Fukuoka, Japan"", ""authors"": [""Chihaya Adachi""]}, {""address"": ""Fukuoka i3-Center for Organic Photonics and Electronics Research (i3-OPERA), Fukuoka, Japan"", ""authors"": [""Chihaya Adachi""]}]",False,"[""Chuanjiang Qin"", ""Toshinori Matsushima"", ""William J. Potscavage Jr"", ""Atula S. D. Sandanayaka"", ""Matthew R. Leyden"", ""Fatima Bencheikh"", ""Kenichi Goushi"", ""Fabrice Mathevet"", ""Beno\u00eet Heinrich"", ""Go Yumoto"", ""Yoshihiko Kanemitsu"", ""Chihaya Adachi""]","Qin, C., Matsushima, T., Potscavage, W.J. et al. Triplet management for efficient perovskite light-emitting diodes. Nat. Photonics14, 70–75 (2020).",8523,10,7,aplusplus,10.1038/s41566-019-0545-9,https://doi.org/10.1038/s41566-019-0545-9,,2,nphoton,nature photonics,1573430400,2019-11-11,lasers-leds-and-light-sources;organic-leds,https://www.nature.com/articles/s41566-019-0545-9,14
letter,Synthesizing multi-dimensional excitation dynamics and localization transition in one-dimensional lattices,"<p>The excitation dynamics in complex networks can describe the fundamental aspects of transport and localization across multiple fields of science, ranging from solid-state physics and photonics to biological signalling pathways and neuromorphic circuits. Although the effects of increasing network dimensionality are highly non-trivial, their implementation likewise becomes ever more challenging due to the exponentially growing numbers of sites and connections. To address these challenges, we formulate a universal approach for mapping arbitrary networks to synthesized one-dimensional lattices with strictly local inhomogeneous couplings, where the dynamics at the excited site is exactly replicated. We present direct experimental observations in judiciously designed planar photonic structures, showcasing non-monotonic excitation decays associated with up to seven-dimensional hypercubic lattices, and demonstrate a novel sharp localization transition specific to four and higher dimensions. The unprecedented capability of experimentally exploring multi-dimensional dynamics and harnessing their unique features in one-dimensional lattices can find multiple applications in diverse physical systems, including photonic integrated circuits.</p>",,"[{""address"": ""Institut f\u00fcr Physik, Universit\u00e4t Rostock, Rostock, Germany"", ""authors"": [""Lukas J. Maczewsky"", "",\u00a0Max Ehrhardt"", "",\u00a0Matthias Heinrich"", ""\u00a0&\u00a0Alexander Szameit""]}, {""address"": ""Nonlinear Physics Centre, Research School of Physics, The Australian National University, Canberra, Australian Capital Territory, Australia"", ""authors"": [""Kai Wang"", "",\u00a0Alexander A. Dovgiy"", ""\u00a0&\u00a0Andrey A. Sukhorukov""]}, {""address"": ""School of Engineering and Information Technology, University of New South Wales, Canberra, Australian Capital Territory, Australia"", ""authors"": [""Andrey E. Miroshnichenko""]}, {""address"": ""Wave-scattering.com"", ""authors"": [""Alexander Moroz""]}, {""address"": ""CREOL, University of Central Florida, Orlando, FL, USA"", ""authors"": [""Demetrios N. Christodoulides""]}]",False,"[""Lukas J. Maczewsky"", ""Kai Wang"", ""Alexander A. Dovgiy"", ""Andrey E. Miroshnichenko"", ""Alexander Moroz"", ""Max Ehrhardt"", ""Matthias Heinrich"", ""Demetrios N. Christodoulides"", ""Alexander Szameit"", ""Andrey A. Sukhorukov""]","Maczewsky, L.J., Wang, K., Dovgiy, A.A. et al. Synthesizing multi-dimensional excitation dynamics and localization transition in one-dimensional lattices. Nat. Photonics14, 76–81 (2020).",4425,43,3,aplusplus,10.1038/s41566-019-0562-8,https://doi.org/10.1038/s41566-019-0562-8,,2,nphoton,nature photonics,1576454400,2019-12-16,photonic-crystals;photonic-devices,https://www.nature.com/articles/s41566-019-0562-8,14
letter,Reversible 3D laser printing of perovskite quantum dots inside a transparent medium,"<p>The three-dimensional (3D) patterning of semiconductors is potentially important for exploring new functionalities and applications in optoelectronics. Here, we show that it is possible to write on demand 3D patterns of perovskite quantum dots (QDs) inside a transparent glass material using a femtosecond laser. By utilizing the inherent ionic nature and low formation energy of perovskite, highly luminescent CsPbBr<sub>3</sub> QDs can be reversibly fabricated in situ and decomposed through femtosecond laser irradiation and thermal annealing. This pattern of writing and erasing can be repeated for many cycles, and the luminescent QDs are well protected by the inorganic glass matrix, resulting in stable perovskite QDs with potential applications such as high-capacity optical data storage, information encryption and 3D artwork.</p>",,"[{""address"": ""State Key Laboratory of Luminescent Materials and Devices, and Guangdong Provincial Key Laboratory of Fiber Laser Materials and Applied Techniques, Guangdong Engineering Technology Research and Development Center of Special Optical Fiber Materials and Devices, School of Materials Science and Engineering, South China University of Technology, Guangzhou, China"", ""authors"": [""Xiongjian Huang"", "",\u00a0Dandan Yang"", "",\u00a0Zhiguo Xia"", ""\u00a0&\u00a0Guoping Dong""]}, {""address"": ""Department of Institute of Textiles & Clothing, The Hong Kong Polytechnic University, Kowloon, Hong Kong"", ""authors"": [""Qianyi Guo""]}, {""address"": ""CAS Key Laboratory of Renewable Energy and Gas Hydrates, Guangzhou Institute of Energy Conversion, Chinese Academy of Sciences, Guangzhou, China"", ""authors"": [""Xiudi Xiao""]}, {""address"": ""School of Materials Science and Engineering, Zhejiang University, Hangzhou, China"", ""authors"": [""Xiaofeng Liu""]}, {""address"": ""Hefei National Laboratory for Physical Sciences at the Microscale and Department of Modern Physics, University of Science and Technology of China (USTC), Hefei, China"", ""authors"": [""Fengjia Fan""]}, {""address"": ""CAS Key Laboratory of Microscale Magnetic Resonance, University of Science and Technology of China, Hefei, China"", ""authors"": [""Fengjia Fan""]}, {""address"": ""Synergetic Innovation Center of Quantum Information and Quantum Physics, University of Science and Technology of China, Hefei, China"", ""authors"": [""Fengjia Fan""]}, {""address"": ""State Key Laboratory of Modern Optical Instrumentation, College of Optical Science and Engineering, Zhejiang University, Hangzhou, China"", ""authors"": [""Jianrong Qiu""]}]",False,"[""Xiongjian Huang"", ""Qianyi Guo"", ""Dandan Yang"", ""Xiudi Xiao"", ""Xiaofeng Liu"", ""Zhiguo Xia"", ""Fengjia Fan"", ""Jianrong Qiu"", ""Guoping Dong""]","Huang, X., Guo, Q., Yang, D. et al. Reversible 3D laser printing of perovskite quantum dots inside a transparent medium. Nat. Photonics14, 82–88 (2020).",7027,4,9,aplusplus,10.1038/s41566-019-0538-8,https://doi.org/10.1038/s41566-019-0538-8,,2,nphoton,nature photonics,1573430400,2019-11-11,nanoparticles;quantum-dots,https://www.nature.com/articles/s41566-019-0538-8,14
article,Higher-order topological states in photonic kagome crystals with long-range interactions,"<p>Photonic topological insulators enable topological boundary modes that are resilient to defects and disorder, irrespective of manufacturing precision. This property is known as topological protection. Although originally limited to dimensionality of modes one lower than that of topological insulators, the recently discovered higher-order topological insulators (HOTIs) offer topological protection over an extended range of dimensionalities. Here, we introduce a photonic HOTI with kagome lattice that exhibits topological bulk polarization, leading to the emergence of one-dimensional edge states, as well as higher-order zero-dimensional states confined to the corners of the structure. Interestingly, in addition to the corner states due to nearest-neighbour interactions, we discover a new class of topological corner states induced by long-range interactions and specific to photonic systems. Our findings demonstrate that photonic HOTIs possess richer physics than their condensed-matter counterparts, offering opportunities for engineering novel designer electromagnetic states with unique topological robustness.</p>",,"[{""address"": ""Department of Electrical Engineering, Grove School of Engineering, City College of New York, New York, NY, USA"", ""authors"": [""Mengyao Li"", "",\u00a0Dmitry Zhirihin"", "",\u00a0Xiang Ni"", "",\u00a0Andrea Al\u00f9"", ""\u00a0&\u00a0Alexander B. Khanikaev""]}, {""address"": ""Physics Program, Graduate Center of the City University of New York, New York, NY, USA"", ""authors"": [""Mengyao Li"", "",\u00a0Xiang Ni"", "",\u00a0Andrea Al\u00f9"", ""\u00a0&\u00a0Alexander B. Khanikaev""]}, {""address"": ""Department of Nanophotonics and Metamaterials, ITMO University, Saint Petersburg, Russia"", ""authors"": [""Dmitry Zhirihin"", "",\u00a0Maxim Gorlach"", ""\u00a0&\u00a0Alexey Slobozhanyuk""]}, {""address"": ""Center for Photonics and 2D Materials, Moscow Institute of Physics and Technology, Dolgoprudny, Russia"", ""authors"": [""Dmitry Filonov""]}, {""address"": ""Photonics Initiative, Advanced Science Research Center, City University of New York, New York, NY, USA"", ""authors"": [""Andrea Al\u00f9""]}]",False,"[""Mengyao Li"", ""Dmitry Zhirihin"", ""Maxim Gorlach"", ""Xiang Ni"", ""Dmitry Filonov"", ""Alexey Slobozhanyuk"", ""Andrea Al\u00f9"", ""Alexander B. Khanikaev""]","Li, M., Zhirihin, D., Gorlach, M. et al. Higher-order topological states in photonic kagome crystals with long-range interactions. Nat. Photonics14, 89–94 (2020).",6324,62,2,aplusplus,10.1038/s41566-019-0561-9,https://doi.org/10.1038/s41566-019-0561-9,,2,nphoton,nature photonics,1575849600,2019-12-09,metamaterials;photonic-crystals;photonic-devices,https://www.nature.com/articles/s41566-019-0561-9,14
article,Raman laser from an optical resonator with a grafted single-molecule monolayer,"<p>Raman-based technologies have enabled many ground-breaking scientific discoveries related to surface science, single-molecule chemistry and biology. For example, researchers have identified surface-bound molecules by their Raman vibrational modes and demonstrated polarization-dependent Raman gain. However, a surface-constrained Raman laser has yet to be demonstrated because of the challenges associated with achieving a sufficiently high photon population located at a surface to transition from spontaneous to stimulated Raman scattering. Here, advances in surface chemistry and in integrated photonics are combined to demonstrate lasing based on surface stimulated Raman scattering (SSRS). By creating an oriented, constrained Si&#8211;O&#8211;Si monolayer on the surface of integrated silica optical microresonators, the requisite conditions for SSRS are achieved with low threshold powers (200&#8201;&#956;W). The expected polarization dependence of SSRS due to the orientation of the Si&#8211;O&#8211;Si bond is observed. Owing to the ordered monolayer, the Raman lasing efficiency is improved from ~5% to over 40%.</p>",,"[{""address"": ""Mork Family Department of Chemical Engineering and Material Science, University of Southern California, Los Angeles, CA, USA"", ""authors"": [""Xiaoqin Shen"", "",\u00a0Hyungwoo Choi"", ""\u00a0&\u00a0Andrea M. Armani""]}, {""address"": ""Ming Hsieh Department of Electrical Engineering-Electrophysics, University of Southern California, Los Angeles, CA, USA"", ""authors"": [""Dongyu Chen"", ""\u00a0&\u00a0Andrea M. Armani""]}, {""address"": ""Department of Chemistry, University of Arkansas at Little Rock, Little Rock, AR, USA"", ""authors"": [""Wei Zhao""]}]",False,"[""Xiaoqin Shen"", ""Hyungwoo Choi"", ""Dongyu Chen"", ""Wei Zhao"", ""Andrea M. Armani""]","Shen, X., Choi, H., Chen, D. et al. Raman laser from an optical resonator with a grafted single-molecule monolayer. Nat. Photonics14, 95–101 (2020).",4038,73,2,aplusplus,10.1038/s41566-019-0563-7,https://doi.org/10.1038/s41566-019-0563-7,,2,nphoton,nature photonics,1575244800,2019-12-02,microresonators;nonlinear-optics;photonic-devices,https://www.nature.com/articles/s41566-019-0563-7,14
article,Orbital angular momentum holography for high-security encryption,"<p>Holography has been identified as a vital platform for three-dimensional displays, optical encryption, microscopy and artificial intelligence through different physical dimensions. However, unlike the wavelength and polarization divisions, orbital angular momentum (OAM) of light, despite its helical wavefront being an independent physical dimension, has not been implemented as an information carrier for holography due to the lack of helical mode index selectivity in the Bragg diffraction formula. Here, we demonstrate OAM holography by discovering strong OAM selectivity in the spatial-frequency domain without a theoretical helical mode index limit. As such, OAM holography allows the multiplexing of a wide range of OAM-dependent holographic images with a helical mode index spanning from &#8722;50 to 50, leading to a 10&#8201;bit OAM-encoded hologram for high-security optical encryption. Our results showing up to 2<sup>10</sup> OAM-dependent distinctive holographic images mark a new path to achieving ultrahigh-capacity holographic information systems harnessing the previously inaccessible OAM division.</p>",,"[{""address"": ""Centre for Artificial-Intelligence Nanophotonics, School of Optical-Electrical and Computer Engineering, University of Shanghai for Science and Technology, Shanghai, China"", ""authors"": [""Xinyuan Fang"", ""\u00a0&\u00a0Min Gu""]}, {""address"": ""Laboratory of Artificial-Intelligence Nanophotonics, School of Science, RMIT University, Melbourne, Victoria, Australia"", ""authors"": [""Xinyuan Fang"", "",\u00a0Haoran Ren"", ""\u00a0&\u00a0Min Gu""]}, {""address"": ""National Laboratory of Solid State Microstructures, College of Engineering and Applied Sciences, Nanjing University, Nanjing, China"", ""authors"": [""Xinyuan Fang""]}]",False,"[""Xinyuan Fang"", ""Haoran Ren"", ""Min Gu""]","Fang, X., Ren, H. & Gu, M. Orbital angular momentum holography for high-security encryption. Nat. Photonics14, 102–108 (2020).",9631,15,4,aplusplus,10.1038/s41566-019-0560-x,https://doi.org/10.1038/s41566-019-0560-x,,2,nphoton,nature photonics,1575849600,2019-12-09,displays;imaging-and-sensing;optoelectronic-devices-and-components,https://www.nature.com/articles/s41566-019-0560-x,14
