doi,title,title_cn,abstract,abstract_cn
10.1038/s41565-017-0001-2,Electric polarization switching in an atomically thin binary rock salt structure,原子薄的二元岩盐结构中的电极化转换 ,"<p>Inducing and controlling electric dipoles is hindered in the ultrathin limit by the finite screening length of surface charges at metal&#8211;insulator junctions, although this effect can be circumvented by specially designed interfaces. Heterostructures of insulating materials hold great promise, as confirmed by perovskite oxide superlattices with compositional substitution to artificially break the structural inversion symmetry. Bringing this concept to the ultrathin limit would substantially broaden the range of materials and functionalities that could be exploited in novel nanoscale device designs. Here, we report that non-zero electric polarization can be induced and reversed in a hysteretic manner in bilayers made of ultrathin insulators whose electric polarization cannot be switched individually. In particular, we explore the interface between ionic rock salt alkali halides such as NaCl or KBr and polar insulating Cu<sub>2</sub>N terminating bulk copper. The strong compositional asymmetry between the polar Cu<sub>2</sub>N and the vacuum gap breaks inversion symmetry in the alkali halide layer, inducing out-of-plane dipoles that are stabilized in one orientation (self-poling). The dipole orientation can be reversed by a critical electric field, producing sharp switching of the tunnel current passing through the junction.</p>",<p>金属绝缘子结点处表面电荷的有限屏蔽长度限制了在极薄范围内感应和控制电偶极子，尽管可以通过特殊设计的界面来避免这种影响。绝缘材料的异质结构具有广阔的前景，钙钛矿氧化物超晶格具有成分替代作用，可以人为地破坏结构反转对称性，这一点已得到证实。将此概念带到极薄的极限将大大拓宽可在新型纳米级器件设计中利用的材料和功能范围。在这里，我们报告说，在由超薄绝缘体制成的双层中，非极化电势可以以滞后的方式感应和逆转，其极化不能单独切换。特别地，我们探索了诸如NaCl或KBr之类的离子岩盐碱金属卤化物与极性绝缘Cu <sub> 2 </ sub> N终止的块状铜之间的界面。极性Cu <sub> 2 </ sub> N与真空间隙之间的强组成不对称性破坏了卤化碱层的反型对称性，导致面外偶极子稳定在一个方向上（自极化）。临界电场可以逆转偶极子的方向，从而使通过结的隧道电流产生急剧的切换。</ p> 
10.1038/s41565-017-0010-1,Steep-slope hysteresis-free negative capacitance MoS2 transistors,陡坡无滞回负电容MoS2晶体管 ,"<p>The so-called Boltzmann tyranny defines the fundamental thermionic limit of the subthreshold slope of a metal&#8211;oxide&#8211;semiconductor field-effect transistor (MOSFET) at 60&#8201;mV&#8201;dec<sup>&#8722;1</sup> at room temperature and therefore precludes lowering of the supply voltage and overall power consumption. Adding a ferroelectric negative capacitor to the gate stack of a MOSFET may offer a promising solution to bypassing this fundamental barrier. Meanwhile, two-dimensional semiconductors such as atomically thin transition-metal dichalcogenides, due to their low dielectric constant and ease of integration into a junctionless transistor topology, offer enhanced electrostatic control of the channel. Here, we combine these two advantages and demonstrate a molybdenum disulfide (MoS<sub>2</sub>) two-dimensional steep-slope transistor with a ferroelectric hafnium zirconium oxide layer in the gate dielectric stack. This device exhibits excellent performance in both on and off states, with a maximum drain current of 510&#8201;&#956;A&#8201;&#956;m<sup>&#8722;1</sup> and a sub-thermionic subthreshold slope, and is essentially hysteresis-free. Negative differential resistance was observed at room temperature in the MoS<sub>2</sub> negative-capacitance FETs as the result of negative capacitance due to the negative drain-induced barrier lowering. A high on-current-induced self-heating effect was also observed and studied.</p>",<p>所谓的玻尔兹曼暴政定义了60摄氏度mV的金属氧化物场效应晶体管（MOSFET）的亚阈值斜率的基本热电子极限。 ＃8722; 1 </ sup>在室温下进行，因此可以避免降低电源电压和总功耗。在MOSFET的栅极叠层上增加一个铁电负电容器可以为绕过该基本势垒提供一个有前途的解决方案。同时，由于其介电常数低且易于集成到无结晶体管拓扑结构中，二维半导体（例如原子上薄的过渡金属二硫化氢）可提供对通道的增强静电控制。在这里，我们结合了这两个优点，并展示了在栅极电介质叠层中具有铁电ha氧化锆层的二维二硫化钼（MoS <sub> 2 </ sub>）二维陡坡晶体管。该器件在导通和截止状态下均具有出色的性能，最大漏极电流为510°＃8201;＆＃9561A＆＃8201;＆＃956; m <sup>＆＃8722; 1 </ sup> -热离子亚阈值斜率，并且基本上没有磁滞。 MoS <sub> 2 </ sub>负电容FET在室温下观察到负差分电阻，这是由于负漏极引起的势垒降低导致的负电容所致。还观察到并研究了高导通电流引起的自热效应。</ p> 
10.1038/s41565-017-0006-x,Observation of Dirac bands in artificial graphene in small-period nanopatterned GaAs quantum wells,小周期纳米图形GaAs量子阱中人造石墨烯的狄拉克谱带的观察 ,"<p>Charge carriers in graphene behave like massless Dirac fermions (MDFs) with linear energy-momentum dispersion, providing a condensed-matter platform for studying quasiparticles with relativistic-like features. Artificial graphene (AG)&#8212;a structure with an artificial honeycomb lattice&#8212;exhibits novel phenomena due to the tunable interplay between topology and quasiparticle interactions. So far, the emergence of a Dirac band structure supporting MDFs has been observed in AG using molecular, atomic and photonic systems, including those with semiconductor microcavities. Here, we report the realization of an AG that has a band structure with vanishing density of states consistent with the presence of MDFs. This observation is enabled by a very small lattice constant (a&#8201;=&#8201;50&#8201;nm) of the nanofabricated AG patterns superimposed on a two-dimensional electron gas hosted by a high-quality GaAs quantum well. Resonant inelastic light-scattering spectra reveal low-lying transitions that are not present in the unpatterned GaAs quantum well. These excitations reveal the energy dependence of the joint density of states for AG band transitions. Fermi level tuning through the Dirac point results in a collapse of the density of states at low transition energy, suggesting the emergence of the MDF linear dispersion in the AG.</p>",石墨烯中的电荷载体的行为类似于无质量的狄拉克费米子（MDF），具有线性的能量动量色散，为研究具有相对论性特征的准粒子提供了凝聚态平台。人工石墨烯（AG）具有人工蜂窝状晶格的结构由于拓扑和准粒子相互作用之间的可调相互作用而表现出新颖的现象。到目前为止，已经在AG中使用分子，原子和光子系统，包括具有半导体微腔的系统，观察到了支持MDF的Dirac能带结构的出现。在这里，我们报告了具有带结构的AG的实现，该带结构的消失密度与MDF的存在一致。这种观察是通过将纳米制造的AG图案的非常小的晶格常数（a＆amp; 8201; =＆＃8201; 50＆＃8201; nm）叠加在高质量GaAs量子阱所承载的二维电子气上而实现的。共振非弹性光散射光谱显示出低层跃迁，这种跃迁在无图案GaAs量子阱中不存在。这些激发揭示了AG带跃迁的状态的联合密度的能量依赖性。在Dirac点上进行费米能级调谐会导致在低跃迁能量下状态密度崩溃，这表明AG中MDF线性色散的出现。</ p> 
10.1038/s41565-017-0005-y,Controllable molecular motors engineered from myosin and RNA,由肌球蛋白和RNA设计的可控分子马达 ,"<p>Engineering biomolecular motors can provide direct tests of structure&#8211;function relationships and customized components for controlling molecular transport in artificial systems or in living cells. Previously, synthetic nucleic acid motors and modified natural protein motors have been developed in separate complementary strategies to achieve tunable and controllable motor function. Integrating protein and nucleic-acid components to form engineered nucleoprotein motors may enable additional sophisticated functionalities. However, this potential has only begun to be explored in pioneering work harnessing DNA scaffolds to dictate the spacing, number and composition of tethered protein motors. Here, we describe myosin motors that incorporate RNA lever arms, forming hybrid assemblies in which conformational changes in the protein motor domain are amplified and redirected by nucleic acid structures. The RNA lever arm geometry determines the speed and direction of motor transport and can be dynamically controlled using programmed transitions in the lever arm structure. We have characterized the hybrid motors using in vitro motility assays, single-molecule tracking, cryo-electron microscopy and structural probing. Our designs include nucleoprotein motors that reversibly change direction in response to oligonucleotides that drive strand-displacement reactions. In multimeric assemblies, the controllable motors walk processively along actin filaments at speeds of 10&#8211;20&#8201;nm&#8201;s<sup>&#8722;1</sup>. Finally, to illustrate the potential for multiplexed addressable control, we demonstrate sequence-specific responses of RNA variants to oligonucleotide signals.</p>",工程生物分子电动机可以直接测试结构，功能关系和定制组件，以控制人造系统或活细胞中的分子运输。以前，合成核酸马达和修饰的天然蛋白质马达已经以单独的互补策略开发，以实现可调和可控的马达功能。整合蛋白质和核酸成分以形成工程化的核蛋白马达，可以实现其他复杂的功能。但是，这种潜力只是在利用DNA支架来决定拴系蛋白马达的间距，数量和组成的开创性工作中才开始挖掘。在这里，我们描述了肌球蛋白电机，其中包含RNA杠杆臂，形成混合装配，其中蛋白质电机结构域的构象变化被核酸结构放大和重定向。 RNA杠杆臂的几何形状决定了电机运输的速度和方向，可以使用杠杆臂结构中的编程转换来动态控制。我们已经使用体外运动测定，单分子跟踪，低温电子显微镜和结构探测来表征混合动力汽车。我们的设计包括核蛋白马达，可响应驱动链置换反应的寡核苷酸而可逆地改变方向。在多聚体装配体中，可控马达沿着肌动蛋白丝以10到20的速度前进。最后，为了说明多重可寻址控制的潜力，我们证明了RNA变体对寡核苷酸信号的序列特异性反应。</ p> 
10.1038/s41565-017-0008-8,Out-of-plane heat transfer in van der Waals stacks through electron–hyperbolic phonon coupling,通过电子-双曲声子耦合在范德华堆栈中进行面外传热 ,"<p>Van der Waals heterostructures have emerged as promising building blocks that offer access to new physics, novel device functionalities and superior electrical and optoelectronic properties. Applications such as thermal management, photodetection, light emission, data communication, high-speed electronics and light harvesting require a thorough understanding of (nanoscale) heat flow. Here, using time-resolved photocurrent measurements, we identify an efficient out-of-plane energy transfer channel, where charge carriers in graphene couple to hyperbolic phonon polaritons in the encapsulating layered material. This hyperbolic cooling is particularly efficient, giving picosecond cooling times for hexagonal BN, where the high-momentum hyperbolic phonon polaritons enable efficient near-field energy transfer. We study this heat transfer mechanism using distinct control knobs to vary carrier density and lattice temperature, and find excellent agreement with theory without any adjustable parameters. These insights may lead to the ability to control heat flow in van der Waals heterostructures.</p>",<p>范德华力异质结构已成为有前途的构建基块，可提供获得新物理学，新颖的器件功能以及卓越的电气和光电特性的途径。热管理，光电检测，发光，数据通信，高速电子设备和光收集等应用程序需要对（纳米级）热流有透彻的了解。在这里，使用时间分辨的光电流测量，我们确定了有效的面外能量传输通道，其中石墨烯中的电荷载流子与封装层状材料中的双曲线声子极化子耦合。这种双曲线冷却特别有效，可以为六角形BN提供皮秒级的冷却时间，其中高动量双曲线声子极化子可实现有效的近场能量传输。我们使用独特的控制旋钮来研究这种传热机制，以改变载流子密度和晶格温度，并且在没有任何可调整参数的情况下与理论取得了很好的一致性。这些见解可能导致控制范德华异质结构中热流的能力。</ p> 
10.1038/s41565-017-0007-9,A graphene Zener–Klein transistor cooled by a hyperbolic substrate,由双曲衬底冷却的石墨烯齐纳-克莱因晶体管 ,"<p>The engineering of cooling mechanisms is a bottleneck in nanoelectronics. Thermal exchanges in diffusive graphene are mostly driven by defect-assisted acoustic phonon scattering, but the case of high-mobility graphene on hexagonal boron nitride (hBN) is radically different, with a prominent contribution of remote phonons from the substrate. Bilayer graphene on a hBN transistor with a local gate is driven in a regime where almost perfect current saturation is achieved by compensation of the decrease in the carrier density and Zener&#8211;Klein tunnelling (ZKT) at high bias. Using noise thermometry, we show that the ZKT triggers a new cooling pathway due to the emission of hyperbolic phonon polaritons in hBN by out-of-equilibrium electron&#8211;hole pairs beyond the super-Planckian regime. The combination of ZKT transport and hyperbolic phonon polariton cooling renders graphene on BN transistors a valuable nanotechnology for power devices and RF electronics.</p>",<p>冷却机制的工程设计是纳米电子学的瓶颈。 扩散石墨烯中的热交换主要由缺陷辅助的声子声子散射驱动，但是六方氮化硼（hBN）上高迁移率石墨烯的情况则完全不同，其中远距离声子对基底的贡献很大。 在具有局部栅极的hBN晶体管上的双层石墨烯是在一种机制下驱动的，该机制通过补偿载流子密度的降低和高偏压下的齐纳·克莱因隧道效应（ZKT）实现了近乎完美的电流饱和。 使用噪声测温法，我们表明ZKT触发了新的冷却途径，这是由于超普朗克范围之外的非平衡电子空穴对在hBN中释放了双曲线声子极化子。 ZKT传输和双曲线声子极化子冷却的结合使BN晶体管上的石墨烯成为用于功率器件和RF电子设备的有价值的纳米技术。</ p> 
10.1038/s41565-017-0002-1,Realization of ground state in artificial kagome spin ice via topological defect-driven magnetic writing,通过拓扑缺陷驱动的磁写法在人工kagome自旋冰中实现基态 ,"<p>Arrays of non-interacting nanomagnets are widespread in data storage and processing. As current technologies approach fundamental limits on size and thermal stability, enhancing functionality through embracing the strong interactions present at high array densities becomes attractive. In this respect, artificial spin ices are geometrically frustrated magnetic metamaterials that offer&#160;vast untapped potential due to their unique microstate landscapes, with intriguing prospects in applications from reconfigurable logic to magnonic devices or hardware neural networks. However, progress in such systems is impeded by the inability to access more than a fraction of the total microstate space. Here, we demonstrate that topological defect-driven magnetic writing&#8212;a scanning probe technique&#8212;provides access to all of the possible microstates in artificial spin ices and related arrays of nanomagnets. We create previously elusive configurations such as the spin-crystal ground state of artificial kagome dipolar spin ices and high-energy, low-entropy &#8216;monopole-chain&#8217; states that exhibit negative effective temperatures.</p>",<p>非相互作用纳米磁体的阵列广泛用于数据存储和处理。随着当前技术对尺寸和热稳定性的基本限制，通过拥抱高阵列密度下的强相互作用来增强功能变得有吸引力。在这方面，人造自旋冰是几何上受挫的磁性超材料，由于其独特的微状态景观，其具有巨大的开发潜力，从可重构逻辑到大型设备或硬件神经网络的应用前景诱人。但是，这种系统的进步由于无法访问总微状态空间的一小部分而受到阻碍。在这里，我们证明了拓扑缺陷驱动的磁写入/扫描探针技术可提供对人造自旋冰和纳米磁铁相关阵列中所有可能的微状态的访问。我们创建了以前难以捉摸的配置，例如人造kagome偶极自旋冰的自旋晶体基态和高能，低熵的单极链。有效温度为负的状态。</ p> 
10.1038/s41565-017-0003-0,Radiative control of dark excitons at room temperature by nano-optical antenna-tip Purcell effect,纳米光学天线尖端珀塞尔效应对室温暗激子的辐射控制 ,"<p>Excitons, Coulomb-bound electron&#8211;hole pairs, are elementary photo-excitations in semiconductors that can couple to light through radiative relaxation. In contrast, dark excitons (X<sub>D</sub>) show anti-parallel spin configuration with generally forbidden radiative emission. Because of their long lifetimes, these dark excitons are appealing candidates for quantum computing and optoelectronics. However, optical read-out and control of X<sub>D</sub> states has remained challenging due to their decoupling from light. Here, we present a tip-enhanced nano-optical approach to induce, switch and programmably modulate the X<sub>D</sub> emission at room temperature. Using a monolayer transition metal dichalcogenide (TMD) WSe<sub>2</sub> on a gold substrate, we demonstrate ~6&#8201;&#215;&#8201;10<sup>5</sup>-fold enhancement in dark exciton photoluminescence quantum yield achieved through coupling of the antenna-tip to the dark exciton out-of-plane optical dipole moment, with a large Purcell factor of &#8805;2&#8201;&#215;&#8201;10<sup>3</sup> of the tip&#8211;sample nano-cavity. Our approach provides a facile way to harness excitonic properties in low-dimensional semiconductors offering new strategies for quantum optoelectronics.</p>",激子，库仑结合电子空穴对，是半导体中的基本光激发，可以通过辐射弛豫耦合到光。相反，深色激子（X <sub> D </ sub>）表现出反平行自旋构型，通常禁止发射辐射。由于它们的使用寿命长，这些深色激子非常适合用于量子计算和光电技术。然而，由于X <sub> D </ sub>状态的光读出和控制由于其与光的解耦而仍然具有挑战性。在这里，我们提出了一种尖端增强的纳米光学方法，可以在室温下诱导，切换和可编程地调节X <sub> D </ sub>的发射。在金基底上使用单层过渡金属二硫化二硫（TMD）WSe <sub> 2 </ sub>，我们证明〜6＆＃8201;＆＃215;＆＃8201; 10 <sup> 5 </ sup>-倍增强通过将天线头与暗激子平面外光学偶极矩耦合而获得的暗激子光致发光量子产率，具有大的赛尔系数（Purcell factor）为＆＃8805; 2＆＃8201;＆＃215;＆＃8201; 10尖端纳米腔的<sup> 3 </ sup>。我们的方法为在低维半导体中利用激子性质提供了一种简便的方法，为量子光电子学提供了新的策略。</ p> 
10.1038/s41565-017-0013-y,Bacterial resistance to silver nanoparticles and how to overcome it,对银纳米颗粒的细菌抗性及其克服方法 ,"<p>Silver nanoparticles have already been successfully applied in various biomedical and antimicrobial technologies and products used in everyday life. Although bacterial resistance to antibiotics has been extensively discussed in the literature, the possible development of resistance to silver nanoparticles has not been fully explored. We report that the Gram-negative bacteria Escherichia coli 013, Pseudomonas aeruginosa CCM 3955 and E. coli CCM 3954 can develop resistance to silver nanoparticles after repeated exposure. The resistance stems from the production of the adhesive flagellum protein flagellin, which triggers the aggregation of the nanoparticles. This resistance evolves without any genetic changes; only phenotypic change is needed to reduce the nanoparticles&#8217; colloidal stability and thus eliminate their antibacterial activity. The resistance mechanism cannot be overcome by additional stabilization of silver nanoparticles using surfactants or polymers. It is, however, strongly suppressed by inhibiting flagellin production with pomegranate rind extract.</p>",<p>银纳米颗粒已经成功应用于日常生活中的各种生物医学和抗菌技术和产品中。尽管文献中已广泛讨论了细菌对抗生素的抗药性，但尚未充分探索对银纳米颗粒抗药性的可能发展。我们报告革兰氏阴性细菌大肠埃希氏菌013，铜绿假单胞菌CCM 3955和大肠杆菌CCM 3954在反复暴露后可发展出对银纳米颗粒的抗性。耐药性源自粘附性鞭毛蛋白鞭毛蛋白的产生，其触发了纳米颗粒的聚集。这种抵抗力的进化没有任何遗传改变。只需要改变表型就可以减少纳米颗粒＆＃8217;胶体稳定，因此消除了它们的抗菌活性。通过使用表面活性剂或聚合物对银纳米颗粒进行额外的稳定化无法克服电阻机制。但是，通过抑制石榴皮提取物鞭毛蛋白的产生可以强烈地抑制它。</ p> 
10.1038/s41565-017-0009-7,Synthetically lethal nanoparticles for treatment of endometrial cancer,合成致死性纳米粒子用于治疗子宫内膜癌 ,"<p>Uterine serous carcinoma, one of the most aggressive types of endometrial cancer, is characterized by poor outcomes and mutations in the tumour suppressor p53. Our objective was to engender synthetic lethality to paclitaxel (PTX), the frontline treatment for endometrial cancer, in tumours with mutant p53 and enhance the therapeutic efficacy using polymeric nanoparticles (NPs). First, we identified the optimal NP formulation through comprehensive analyses of release profiles and cellular-uptake and cell&#160;viability studies. Not only were PTX-loaded NPs superior to PTX in solution, but the combination of PTX-loaded NPs with the antiangiogenic molecular inhibitor BIBF 1120 (BIBF) promoted synthetic lethality specifically in cells with the loss-of-function (LOF) p53 mutation. In a xenograft model of endometrial cancer, this combinatorial therapy resulted in a marked inhibition of tumour progression and extended survival. Together, our data provide compelling evidence for future studies of BIBF- and PTX-loaded NPs as a therapeutic opportunity for LOF p53 cancers.</p>",子宫浆液性癌是子宫内膜癌最具侵略性的类型之一，其特征是肿瘤抑制因子p53的不良结局和突变。我们的目标是使具有突变型p53的肿瘤对紫杉醇（PTX）（子宫内膜癌的一线治疗）产生综合杀伤力，并使用聚合物纳米颗粒（NPs）增强治疗效果。首先，我们通过对释放曲线，细胞摄取和细胞活力研究的全面分析，确定了最佳的NP制剂。不仅PTX负载的NP在溶液中优于PTX，而且PTX负载的NP与抗血管生成分子抑制剂BIBF 1120（BIBF）的组合特别在具有功能丧失（LOF）p53突变的细胞中提高了合成杀伤力。在子宫内膜癌的异种移植模型中，这种联合疗法可显着抑制肿瘤进展并延长生存期。在一起，我们的数据为未来研究BIBF和PTX的NPs作为LOF p53癌症的治疗机会提供了有力的证据。</ p> 
