doi,title,title_cn,abstract,abstract_cn
10.1038/nphys3261,A bet on quantum,赌量子 ,,
10.1038/nphys3262,Lowering the blinds,降低百叶窗 ,,
10.1038/nphys3231,Inside the quantum Hall effect,量子霍尔效应内部 ,,
10.1038/nphys3252,Hungry giant,饿巨人 ,,
10.1038/nphys3253,Tell-tale oxygen,讲故事的氧气 ,,
10.1038/nphys3254,Ripple effect,连锁反应 ,,
10.1038/nphys3255,Spike the ball,刺球 ,,
10.1038/nphys3256,Spin control,旋转控制 ,,
10.1038/nphys3247,"Higgs, Anderson and all that",希格斯，安德森等 ,,
10.1038/nphys3248,Divide and polarize,分裂与分化 ,,
10.1038/nphys3232,Of bagels and Burgers,百吉饼和汉堡 ,,
10.1038/nphys3245,When the dust has settled,尘埃落定后 ,,
10.1038/nphys3239,How to spark a field,如何激发一个领域 ,,
10.1038/nphys3251,The monopole movement,单极运动 ,,
10.1038/nphys3260,Topics in non-equilibrium physics,非平衡物理主题 ,,
10.1038/nphys3246,Dissipate to replicate,耗散复制 ,,
10.1038/nphys3229,"Diverse phenomena, common themes",多种现象，共同主题 ,,
10.1038/nphys3167,The other QFT,另一个QFT ,,
10.1038/nphys3224,Active gel physics,主动凝胶物理学 ,"<p>The mechanical behaviour of cells is largely controlled by a structure that is fundamentally out of thermodynamic equilibrium: a network of crosslinked filaments subjected to the action of energy-transducing molecular motors. The study of this kind of active system was absent from conventional physics and there was a need for both new theories and new experiments. The field that has emerged in recent years to fill this gap is underpinned by a theory that takes into account the transduction of chemical energy on the molecular scale. This formalism has advanced our understanding of living systems, but it has also had an impact on research in physics per&#160;se. Here, we describe this developing field, its relevance to biology, the novelty it conveys to other areas of physics and some of the challenges in store for the future of active gel physics.</p>",<p>细胞的机械行为主要由基本上不处于热力学平衡的结构控制：交联的长丝网络受到能量转换分子马达的作用。 常规物理学缺乏对这种有源系统的研究，因此需要新的理论和新的实验。 近年来出现的填补这一空白的领域得到了一种理论的支持，该理论考虑了分子尺度上化学能的传导。 这种形式主义增进了我们对生命系统的理解，但也对物理学的研究产生了影响。 在这里，我们描述了这个发展中的领域，它与生物学的关系，它向物理学的其他领域传达的新颖性以及活性凝胶物理学的未来所面临的一些挑战。</ p> 
10.1038/nphys3169,Towards quantum thermodynamics in electronic circuits,迈向电子电路中的量子热力学 ,"<p>Electronic circuits operating at sub-kelvin temperatures are attractive candidates for studying classical and quantum thermodynamics: their temperature can be controlled and measured locally with exquisite precision, and they allow experiments with large statistical samples. The availability and rapid development of devices such as quantum dots, single-electron boxes and superconducting qubits only enhance their appeal. But although these systems provide fertile ground for studying heat transport, entropy production and work in the context of quantum mechanics, the field remains in its infancy experimentally. Here, we review some recent experiments on quantum heat transport, fluctuation relations and implementations of Maxwell&#8217;s demon, revealing the rich physics yet to be fully probed in these systems.</p>",<p>工作在低于开尔文温度下的电子电路是研究经典和量子热力学的诱人候选：它们的温度可以精确地在本地控制和测量，并且允许进行大量统计样本的实验。 诸如量子点，单电子盒和超导量子位之类的设备的可用性和快速发展只会增强它们的吸引力。 但是，尽管这些系统为研究热传输，熵产生和量子力学背景下的工作提供了沃土，但该领域仍处于实验阶段。 在这里，我们回顾了一些有关量子热传递，涨落关系和麦克斯韦恶魔的实现的最新实验，揭示了尚未在这些系统中进行全面探究的丰富物理原理。</ p> 
10.1038/nphys3215,Quantum many-body systems out of equilibrium,量子多体系统失衡 ,"<p>How do closed quantum many-body systems driven out of equilibrium eventually achieve equilibration? And how do these systems thermalize, given that they comprise so many degrees of freedom? Progress in answering these&#8212;and related&#8212;questions has accelerated in recent years&#8212;a trend that can be partially attributed to success with experiments performing quantum simulations using ultracold atoms and trapped ions. Here we provide an overview of this progress, specifically in studies probing dynamical equilibration and thermalization of systems driven out of equilibrium by quenches, ramps and periodic driving. In doing so, we also address topics such as the eigenstate thermalization hypothesis, typicality, transport, many-body localization and universality near phase transitions, as well as future prospects for quantum simulation.</p>",<p>不平衡的封闭量子多体系统如何最终达到平衡？ 鉴于它们具有如此多的自由度，这些系统又如何热化？ 近年来，在回答这些问题和相关问题方面的进展加快了，这一趋势可以部分归因于使用超冷原子和捕获离子进行量子模拟的实验成功。 在这里，我们提供了这一进展的概述，特别是在研究通过失超，斜坡和周期性驱动而失衡的系统的动力学平衡和热化的研究中。 在此过程中，我们还将讨论诸如本征态热化假设，典型性，输运，多体局部化和接近相变的通用性等主题，以及量子模拟的未来前景。</ p> 
10.1038/nphys3230,Thermodynamics of information,信息热力学 ,"<p>By its very nature, the second law of thermodynamics is probabilistic, in that its formulation requires a probabilistic description of the state of a system. This raises questions about the objectivity of the second law: does it depend, for example, on what we know about the system? For over a century, much effort has been devoted to incorporating information into thermodynamics and assessing the entropic and energetic costs of manipulating information. More recently, this historically theoretical pursuit has become relevant in practical situations where information is manipulated at small scales, such as in molecular and cell biology, artificial nano-devices or quantum computation. Here we give an introduction to a novel theoretical framework for the thermodynamics of information based on stochastic thermodynamics and fluctuation theorems, review some recent experimental results, and present an overview of the state of the art in the field.</p>",<p>从本质上讲，热力学第二定律是概率性的，因为其公式化需要对系统状态进行概率性描述。 这就提出了关于第二定律的客观性的问题：例如，第二定律是否取决于我们对系统的了解？ 一个多世纪以来，人们一直致力于将信息纳入热力学，并评估操纵信息的熵和能量成本。 最近，这种历史上的理论追求在实际情况下变得有意义，在实际情况下，例如在分子和细胞生物学，人工纳米设备或量子计算中小规模地操纵信息。 在这里，我们基于随机热力学和涨落定理介绍了一种新的信息热力学理论框架，回顾了一些最新的实验结果，并对本领域的最新技术进行了概述。</ p> 
10.1038/nphys3203,Valley Zeeman effect in elementary optical excitations of monolayer WSe2,单层WSe2的基本光学激发中的Valley Zeeman效应 ,,
10.1038/nphys3201,Magnetic control of valley pseudospin in monolayer WSe2,单层WSe2中谷假纺丝的磁控制 ,,
10.1038/nphys3185,Topological modes bound to dislocations in mechanical metamaterials,机械超材料中位错的拓扑模式 ,,
10.1038/nphys3214,Mesoscopic Rydberg-blockaded ensembles in the superatom regime and beyond,在超原子范围内以及其他范围内的介观里德堡阻滞的合奏 ,,
10.1038/nphys3171,Measuring the Chern number of Hofstadter bands with ultracold bosonic atoms,用超冷的硼原子测量霍夫施塔特谱带的Chern数 ,,
10.1038/nphys3202,Multipartite Einstein–Podolsky–Rosen steering and genuine tripartite entanglement with optical networks,爱因斯坦-波多尔斯基-罗森多部分转向系统与光学网络真正的三方纠缠 ,,
10.1038/nphys3178,Observation of magnetic field generation via the Weibel instability in interpenetrating plasma flows,互穿等离子体流中通过Weibel不稳定性产生的磁场的观察 ,,
10.1038/nphys3187,Identifying the 'fingerprint' of antiferromagnetic spin fluctuations in iron pnictide superconductors,识别铁氧超导体中反铁磁自旋波动的“指纹” ,,
10.1038/nphys3194,Light-controlled topological charge in a nematic liquid crystal,向列型液晶中的光控拓扑电荷 ,,
10.1038/nphys3227,The Higgs mode in disordered superconductors close to a quantum phase transition,接近量子相变的无序超导体中的希格斯模 ,"<p>The concept of mass generation by means of the Higgs mechanism was strongly inspired by earlier works on the Meissner&#8211;Ochsenfeld effect in superconductors. In quantum field theory, the excitations of longitudinal components of the Higgs field manifest as massive Higgs bosons. The analogous Higgs mode in superconductors has not yet been observed owing to its rapid decay into particle&#8211;hole pairs. According to recent theories, however, the Higgs mode should decrease below the superconducting pairing gap 2&#916; and become visible in two-dimensional systems close to the superconductor&#8211;insulator transition. For experimental verification, we measured the complex terahertz transmission and tunnelling density of states of various thin films of superconducting NbN and InO close to criticality. Comparing both techniques reveals a growing discrepancy between the finite 2&#916; and the threshold energy for electromagnetic absorption, which vanishes critically towards the superconductor&#8211;insulator transition. We identify the excess absorption below 2&#916; as strong evidence of the Higgs mode in two-dimensional quantum critical superconductors.</p>",<p>借助希格斯机制产生质量的概念受到早期关于超导体的迈斯纳·奥克森费尔德效应的研究的启发。在量子场论中，希格斯场的纵向分量的激发表现为块状希格斯玻色子。由于其迅速衰减成粒子空穴对，因此尚未在超导体中观察到类似的希格斯模。但是，根据最新的理论，希格斯模式应降低到超导配对间隙2＆＃916; 2之下。并且在靠近超导体绝缘体过渡的二维系统中变得可见。为了进行实验验证，我们测量了接近临界状态的各种超导NbN和InO薄膜的复杂太赫兹传输和隧穿密度。比较这两种技术可以发现有限2＆＃916;之间的差异越来越大。和电磁吸收的阈值能量，该能量严重地向超导体绝缘体跃迁消失。我们确定多余的吸收低于2＆＃916;作为二维量子临界超导体中希格斯模的有力证据。</ p> 
10.1038/nphys3197,Experimental test of the quantum Jarzynski equality with a trapped-ion system,离子阱系统对量子Jarzynski等式的实验测试 ,"<p>The Jarzynski equality relates the free-energy difference between two equilibrium states to the work done on a system through far-from-equilibrium processes&#8212;a milestone that builds on the pioneering work of Clausius and Kelvin. Although experimental tests of the equality have been performed in the classical regime, the quantum Jarzynski equality has not yet been fully verified owing to experimental challenges in measuring work and work distributions in a quantum system. Here, we report an experimental test of the quantum Jarzynski equality with a single <sup>171</sup>Yb<sup>+</sup> ion trapped in a harmonic potential. We perform projective measurements to obtain phonon distributions of the initial thermal state. We then apply a laser-induced force to the projected energy eigenstate and find transition probabilities to final energy eigenstates after the work is done. By varying the speed with which we apply the force from the equilibrium to the far-from-equilibrium regime, we verify the quantum Jarzynski equality in an isolated system.</p>",<p> Jarzynski等式将两个平衡状态之间的自由能差与通过远离平衡过程在系统上完成的工作联系在一起，这是在Clausius和Kelvin的开创性工作的基础上建立的一个里程碑。尽管在经典状态下已经进行了等式的实验测试，但是由于在测量量子系统中的功和功分布方面存在实验挑战，因此量子Jarzynski相等性尚未得到充分验证。在这里，我们报告了一个量子Jarzynski等式的实验测试，其中的单个<sup> 171 </ sup> Yb <sup> + </ sup>离子被捕获在谐波电位中。我们执行投影测量以获得初始热态的声子分布。然后，我们在预计的能量本征态上施加激光诱导力，并在完成工作后找到到最终能量本征态的跃迁概率。通过改变从平衡力向远离平衡态施加力的速度，可以验证孤立系统中的量子Jarzynski相等。</ p> 
10.1038/nphys3243,Erratum: Stiffening solids with liquid inclusions,勘误：增强固体和液体夹杂物 ,,
10.1038/nphys3258,Low-city life,低城市生活 ,,
