doi,title,title_cn,abstract,abstract_cn
10.1038/s41567-019-0758-3,Time to move beyond average thinking,是时候超越一般思维了 ,,
10.1038/s41567-019-0737-8,The power of machine learning,机器学习的力量 ,,
10.1038/s41567-019-0738-7,Back to the Moon,回到月球 ,,
10.1038/s41567-019-0751-x,Hold my gravimeter,握住我的重力仪 ,,
10.1038/s41567-019-0752-9,Slippery ice,滑冰 ,,
10.1038/s41567-019-0753-8,A machine to help machines,一台机器帮忙 ,,
10.1038/s41567-019-0754-7,Tamed by topology,被拓扑驯服 ,,
10.1038/s41567-019-0755-6,The Universe before our time,我们时代之前的宇宙 ,,
10.1038/s41567-019-0731-1,A magnetic field boost for superconductors,超导体的磁场增强 ,,
10.1038/s41567-019-0668-4,Frustration can be critical,挫败感很关键 ,,
10.1038/s41567-019-0657-7,Exceptional quantum behaviour,卓越的量子行为 ,,
10.1038/s41567-019-0732-0,The ergodicity problem in economics,经济学中的遍历性问题 ,,
10.1038/s41567-019-0653-y,Magnetic fields alter strong-field ionization,磁场改变强场电离 ,"<p>When a strong laser pulse induces the ionization of an atom, momentum conservation dictates that the absorbed photons transfer their momentum to the electron and its parent ion. The sharing of the photon momentum between the two particles and its underlying mechanism in strong-field ionization, occurring when the bound electron tunnels through the barrier created by the superposition of the atomic potential and the electric laser field, are still debated in theory after 30 years of research. Corresponding experiments are very challenging due to the extremely small photon momentum and their precision has been too limited, so far, to ultimately resolve this debate. By utilizing an experimental approach relying on two counter-propagating laser pulses, we present a detailed study of the effects of the photon momentum in strong-field ionization. The high precision of the method and the intrinsically known zero momentum allow us to unambiguously demonstrate the action of the light&#8217;s magnetic field on the electron while it is under the tunnel barrier, which has only been theoretically predicted so far, thereby disproving opposing predictions. Our results deepen the understanding of, for example, molecular imaging and time-resolved photoelectron holography.</p>",<p>当强激光脉冲诱导原子电离时，动量守恒决定吸收的光子将其动量转移给电子及其母离子。在理论上，关于束缚电子隧穿通过由势能和电激光场叠加而形成的势垒的束缚电子隧穿时，两个粒子之间光子动量的共享及其在强场电离中的潜在机制在理论上仍在30年代后被争论。多年的研究。由于光子的动量极小，因此相应的实验非常具有挑战性，到目前为止，其精度太有限，无法最终解决该争论。通过利用依赖于两个反向传播的激光脉冲的实验方法，我们对光子动量在强场电离中的作用进行了详细研究。该方法的高精度和本质上已知的零动量使我们能够清楚地证明光磁场在电子处于隧道势垒之下时对电子的作用，到目前为止，该理论仅在理论上得到了预测，从而反证了相反的预测。我们的结果加深​​了对例如分子成像和时间分辨光电子全息术的理解。</ p> 
