doi,title,title_cn,abstract,abstract_cn,affiliations,affiliations_cn
10.1038/nphys144,The natural choice,自然的选择 ,,,[],[] 
10.1038/nphys134,Is information the key?,信息是关键吗？ ,,,"[{'address': ""the Département d'informatique et de recherche opérationnelle, Université de Montréal, Québec, H3C 3J7, Canada"", 'authors': ['Gilles Brassard']}]",[{'地址'：“加拿大魁北克蒙特利尔大学计算机科学与运筹学系，H3C 3J7，加拿大”，“作者”：['Gilles Brassard']}] 
10.1038/nphys132,Dirac gets the jitters,狄拉克感到不安 ,,,[],[] 
10.1038/nphys133,Lost in Los Angeles,迷失在洛杉矶 ,,,[],[] 
10.1038/nphys123,A name in vain?,一个徒劳的名字？ ,,,"[{'address': 'senior research fellow at the Science Museum, London, SW7 2DD, UK', 'authors': ['Graham Farmelo']}]",[{'地址'：'英国伦敦科学馆2DD号，伦敦科学博物馆的高级研究员'，'作者'：['Graham Farmelo']} 
10.1038/nphys143,Research Highlights,研究重点 ,,,[],[] 
10.1038/nphys137,New designs to confine light,限制光线的新设计 ,,,"[{'address': ""the Institut d'Optique, Laboratoire Charles Fabry, Orsay, 91403, France"", 'authors': ['Henri Benisty']}]",[{'地址'：“法国奥赛实验室Charles Fabry光学研究所，91403，法国”，“作者”：['Henri Benisty']}] 
10.1038/nphys139,Magnetic quantum liquid enigma,磁性量子液体谜 ,,,"[{'address': 'the Quantum Matter Group, Cavendish Laboratory, University of Cambridge, Madingley Road, Cambridge, CB3 0HE, UK', 'authors': ['Gilbert G. Lonzarich']}]",[{'address'：'量子物质小组，卡文迪许实验室，剑桥大学，马汀利路，剑桥，英国CB3 0HE，'作者'：['Gilbert G. Lonzarich']]]] 
10.1038/nphys140,Universal clues in noisy skews,嘈杂歪斜中的普遍线索 ,,,"[{'address': 'the Department of Physics, University of Illinois at Urbana Champaign, 1110 W. Green Street, Urbana, 61801, Illinois, USA', 'authors': ['Karin Dahmen']}]",[{'地址'：'伊利诺伊大学厄本那香槟分校物理系，美国伊利诺伊州厄本那市格林街1110号W，61801，'作者'：['Karin Dahmen']}] 
10.1038/nphys130,Do the space-warp,做空间扭曲 ,,,"[{'address': 'the Department of Applied Mathematics and Theoretical Physics, University of Cambridge, Wilberforce Road, Cambridge, CB3 0WA, UK', 'authors': ['Ben Allanach']}]",[{'地址'：'剑桥大学应用数学和理论物理系，英国剑桥，Wilberforce Road，CB3 0WA，'作者'：['Ben Allanach']}] 
10.1038/nphys135,Would your graphite pencil superconduct?,您的石墨铅笔会超导吗？ ,,,"[{'address': 'the Kavli Institute of Nanoscience Delft, Delft University of Technology, Lorentzweg 1, Delft, 2628 CJ, The Netherlands', 'authors': ['Teun M. Klapwijk']}]",[{'地址'：'代尔夫特理工大学代尔夫特卡夫里纳米科学研究所，荷兰代尔夫特，洛伦兹韦格1号，2628 CJ，'作者'：['Teun M. Klapwijk']]]] 
10.1038/nphys118,Coherence in molecular nitrogen,分子氮的相干性 ,,,"[{'address': 'the Institute for Experimental Physics, University of Vienna, Boltzmanngasse 5, Vienna, A-1090, Austria', 'authors': ['Markus Arndt']}]",[{'地址'：'维也纳大学实验物理研究所，奥地利Boltzmanngasse 5，维也纳，A-1090，'作者'：['Markus Arndt']}] 
10.1038/nphys129,A bridge to sandpile stability,通往沙堆稳定性的桥梁 ,,,"[{'address': 'the Department of Physics and Materials Research Institute, Pennsylvania State University, University Park, 16802, Pennsylvania, USA', 'authors': ['Peter Schiffer']}]",[{'地址'：'宾夕法尼亚州立大学物理与材料研究所，大学公园，美国宾夕法尼亚州16802'，'作者'：['Peter Schiffer']}] 
10.1038/nphys138,Ultracold quantum gases in optical lattices,晶格中的超冷量子气体 ,"<p>Artificial crystals of light, consisting of hundreds of thousands of optical microtraps, are routinely created by interfering optical laser beams. These so-called optical lattices act as versatile potential landscapes to trap ultracold quantum gases of bosons and fermions. They form powerful model systems of quantum many-body systems in periodic potentials for probing nonlinear wave dynamics and strongly correlated quantum phases, building fundamental quantum gates or observing Fermi surfaces in periodic potentials. Optical lattices represent a fast-paced modern and interdisciplinary field of research.</p>",通常，由数十万个光学微阱组成的人造晶体是通过干涉光学激光束而产生的。 这些所谓的光学晶格充当了多种潜在的势态景观，可以捕获玻色子和费米子的超冷量子气体。 它们在周期性电势中形成了强大的量子多体系统模型系统，用于探测非线性波动力学和强相关的量子相，建立基本量子门或在周期性电势中观察费米表面。 光学晶格代表了快节奏的现代跨学科研究领域。</ p> ,"[{'address': 'Institut für Physik, Johannes Gutenberg-Universität, Mainz, D-55099, Germany', 'authors': ['Immanuel Bloch']}]",[{'地址'：'约翰内斯·古腾堡大学物理研究所，德国美因兹，D-55099'，'作者'：['伊曼纽尔·布洛赫']} 
10.1038/nphys009,Spatial imaging of the spin Hall effect and current-induced polarization in two-dimensional electron gases,二维电子气中自旋霍尔效应和电流感应极化的空间成像 ,"<p>Spin&#8211;orbit coupling in semiconductors relates the spin of an electron to its momentum, and provides a pathway for electrically initializing and manipulating electron spins for applications in spintronics and spin-based quantum information processing. This coupling can be regulated with quantum confinement in semiconductor heterostructures through band-structure engineering. Here we investigate the spin Hall effect and current-induced spin polarization in a two-dimensional electron gas confined in (110) AlGaAs quantum wells using Kerr rotation microscopy. In contrast to previous measurements, the spin Hall profile shows complex structure and the current-induced spin polarization is out-of-plane. The experiments map the strong dependence of the current-induced spin polarization to the crystal axis along which the electric field is applied, reflecting the anisotropy of the spin&#8211;orbit interaction. These results reveal opportunities for tuning a spin source using quantum confinement and device engineering in non-magnetic materials.</p>",半导体中的自旋轨道耦合将电子的自旋与其动量相关联，并提供了一种电子初始化和操纵电子自旋的途径，以用于自旋电子学和基于自旋的量子信息处理。通过带结构工程，可以用半导体异质结构中的量子限制来调节这种耦合。在这里，我们使用Kerr旋转显微镜研究了受限于（110）AlGaAs量子阱中的二维电子气中的自旋霍尔效应和电流引起的自旋极化。与以前的测量相反，自旋霍尔轮廓显示出复杂的结构，并且电流感应的自旋极化不在平面内。实验将电流感应的自旋极化对施加电场的晶轴的强相关性进行了映射，反映了自旋轨道相互作用的各向异性。这些结果揭示了在非磁性材料中使用量子限制和器件工程技术调谐自旋源的机会。</ p> ,"[{'address': 'Center for Spintronics and Quantum Computation, University of California, Santa Barbara, California 93106, USA', 'authors': ['V. Sih', ',\xa0R. C. Myers', ',\xa0Y. K. Kato', ',\xa0W. H. Lau', ',\xa0A. C. Gossard', '\xa0&\xa0D. D. Awschalom']}]",[{'address'：'美国加州大学圣塔芭芭拉分校，自旋电子学和量子计算中心，美国加利福尼亚州93106'，'作者'：['V。 Sih'，'，\ xa0R。 C. Myers'，'，\ xa0Y。 K. Kato'，'，\ xa0W。 H. Lau'，'，\ xa0A。 C. Gossard”，“ \ xa0＆\ xa0D”。 D. Awschalom']}] 
