doi,title,title_cn,abstract,abstract_cn
10.1038/lsa.2018.2,Vector-mode multiplexing brings an additional approach for capacity growth in optical fibers,矢量模式复用为光纤容量的增加带来了另一种方法 ,,
10.1038/lsa.2017.146,Twisted photons: new quantum perspectives in high dimensions,扭曲的光子：高维度的新量子观点 ,"<p>Twisted photons can be used as alphabets to encode information beyond one bit per single photon. This ability offers great potential for quantum information tasks, as well as for the investigation of fundamental questions. In this review article, we give a brief overview of the theoretical differences between qubits and higher dimensional systems, qudits, in different quantum information scenarios. We then describe recent experimental developments in this field over the past three years. Finally, we summarize some important experimental and theoretical questions that might be beneficial to understand better in the near future.</p>",<p>扭曲的光子可以用作字母，对每个单光子超过1位的信息进行编码。 这种能力为量子信息任务以及基本问题的研究提供了巨大的潜力。 在这篇综述文章中，我们简要概述了量子位与更高维系统量子态在不同量子信息场景中的理论差异。 然后，我们描述了过去三年中该领域的最新实验进展。 最后，我们总结了一些重要的实验和理论问题，可能有助于在不久的将来更好地理解。</ p> 
10.1038/lsa.2017.168,Liquid crystal display and organic light-emitting diode display: present status and future perspectives,液晶显示器和有机发光二极管显示器：现状和未来展望 ,"<p>Recently, &#8216;Liquid crystal display (LCD) vs. organic light-emitting diode (OLED) display: who wins?&#8217; has become a topic of heated debate. In this review, we perform a systematic and comparative study of these two flat panel display technologies. First, we review recent advances in LCDs and OLEDs, including material development, device configuration and system integration. Next we analyze and compare their performances by six key display metrics: response time, contrast ratio, color gamut, lifetime, power efficiency, and panel flexibility. In this section, we focus on two key parameters: motion picture response time (MPRT) and ambient contrast ratio (ACR), which dramatically affect image quality in practical application scenarios. MPRT determines the image blur of a moving picture, and ACR governs the perceived image contrast under ambient lighting conditions. It is intriguing that LCD can achieve comparable or even slightly better MPRT and ACR than OLED, although its response time and contrast ratio are generally perceived to be much inferior to those of OLED. Finally, three future trends are highlighted, including high dynamic range, virtual reality/augmented reality and smart displays with versatile functions.</p>",<p>最近，液晶显示器（LCD）与有机发光二极管（OLED）显示器：谁赢了？已成为激烈辩论的话题。在这篇综述中，我们对这两种平板显示技术进行了系统的比较研究。首先，我们回顾一下LCD和OLED的最新进展，包括材料开发，设备配置和系统集成。接下来，我们通过六个关键的显示指标来分析和比较它们的性能：响应时间，对比度，色域，寿命，电源效率和面板灵活性。在本节中，我们重点关注两个关键参数：动态影像响应时间（MPRT）和环境对比度（ACR），它们在实际应用场景中会严重影响图像质量。 MPRT确定运动图像的图像模糊，而ACR控制在环境光照条件下的感知图像对比度。有趣的是，LCD的响应时间和对比度通常被认为比OLED差很多，但LCD可以达到与OLED相当甚至更好的MPRT和ACR。最后，重点介绍了三个未来趋势，包括高动态范围，虚拟现实/增强现实以及具有多功能功能的智能显示器。</ p> 
10.1038/lsa.2017.148,Direct fiber vector eigenmode multiplexing transmission seeded by integrated optical vortex emitters,集成光学涡旋发射器播种的直接光纤矢量本征模多路传输 ,"<p>Spatial modes have received substantial attention over the last decades and are used in optical communication applications. In fiber-optic communications, the employed linearly polarized modes and phase vortex modes carrying orbital angular momentum can be synthesized by fiber vector eigenmodes. To improve the transmission capacity and miniaturize the communication system, straightforward fiber vector eigenmode multiplexing and generation of fiber-eigenmode-like polarization vortices (vector vortex modes) using photonic integrated devices are of substantial interest. Here, we propose and demonstrate direct fiber vector eigenmode multiplexing transmission seeded by integrated optical vortex emitters. By exploiting vector vortex modes (radially and azimuthally polarized beams) generated from silicon microring resonators etched with angular gratings, we report data-carrying fiber vector eigenmode multiplexing transmission through a 2-km large-core fiber, showing low-level mode crosstalk and favorable link performance. These demonstrations may open up added capacity scaling opportunities by directly accessing multiple vector eigenmodes in the fiber and provide compact solutions to replace bulky diffractive optical elements for generating various optical vector beams.</p>",在过去的几十年中，空间模式已受到广泛关注，并已用于光通信应用中。在光纤通信中，可以通过光纤矢量本征模合成带有轨道角动量的线性偏振模和相位涡模。为了提高传输容量并使通信系统小型化，使用光子集成设备进行直接的光纤矢量本征模式复用和生成类似光纤本征模式的偏振涡旋（矢量涡旋模）非常重要。在这里，我们提出并演示了由集成光学涡旋发射器播种的直接光纤矢量本征模多路传输。通过利用由角光栅刻蚀的硅微环谐振器产生的矢量涡旋模式（径向和方位偏振光束），我们报告了通过2 km大芯光纤传输数据的光纤矢量本征模多路传输，显示出低阶模式串扰和良好的链接性能。这些演示可以通过直接访问光纤中的多个矢量本征模来打开更大的容量扩展机会，并提供紧凑的解决方案来代替笨重的衍射光学元件以生成各种光学矢量光束。</ p> 
10.1038/lsa.2017.156,Spiniform phase-encoded metagratings entangling arbitrary rational-order orbital angular momentum,缠有任意有理阶轨道角动量的尖峰形相位编码的积分 ,"<p>Quantum entanglements between integer-order and fractional-order orbital angular momentums (OAMs) have been previously discussed. However, the entangled nature of arbitrary rational-order OAM has long been considered a myth due to the absence of an effective strategy for generating arbitrary rational-order OAM beams. Therefore, we report a single metadevice comprising a bilaterally symmetric grating with an aperture, creating optical beams with dynamically controllable OAM values that are continuously varying over a rational range. Due to its encoded spiniform phase, this novel metagrating enables the production of an average OAM that can be increased without a theoretical limit by embracing distributed singularities, which differs significantly from the classic method of stacking phase singularities using fork gratings. This new method makes it possible to probe the unexplored niche of quantum entanglement between arbitrarily defined OAMs in light, which could lead to the complex manipulation of microparticles, high-dimensional quantum entanglement and optical communication. We show that quantum coincidence based on rational-order OAM-superposition states could give rise to low cross-talks between two different states that have no significant overlap in their spiral spectra. Additionally, future applications in quantum communication and optical micromanipulation may be found.</p>",先前已经讨论了整数级和分数级轨道角动量（OAM）之间的量子纠缠。然而，由于缺乏有效的生成任意有序OAM光束的策略，长期以来，任意有序OAM的纠缠性质一直被认为是神话。因此，我们报告了一个单一的元设备，该设备包括带有孔的双向对称光栅，可创建具有可动态控制的OAM值的光束，这些值在合理范围内连续变化。由于其编码的棘突状相，这种新颖的聚变能够产生平均OAM，该平均OAM可以通过拥抱分布奇点而不受理论限制地增加，这与使用叉形光栅堆叠相位奇点的经典方法明显不同。这种新方法可以探测光中任意定义的OAM之间的量子纠缠的利基，这可能导致微粒的复杂操纵，高维量子纠缠和光通信。我们表明基于有序OAM叠加态的量子重合可能会导致两个不同态之间的低串扰，而在它们的螺旋光谱中没有明显的重叠。此外，可能还会发现在量子通信和光学显微操作方面的未来应用。</ p> 
10.1038/lsa.2017.157,All-optical dynamic focusing of light via coherent absorption in a plasmonic metasurface,通过等离子超表面的相干吸收对光进行全光学动态聚焦 ,"<p>Vision, microscopy, imaging, optical data projection and storage all depend on focusing of light. Dynamic focusing is conventionally achieved with mechanically reconfigurable lenses, spatial light modulators or microfluidics. Here we demonstrate that dynamic control of focusing can be achieved through coherent interaction of optical waves on a thin beam splitter. We use a nanostructured plasmonic metasurface of subwavelength thickness as the beam splitter, allowing operation in the regimes of coherent absorption and coherent transparency. Focusing of light resulting from illumination of the plasmonic metasurface with a Fresnel zone pattern is controlled by another patterned beam projected on the same metasurface. By altering the control pattern, its phase, or its intensity, we switch the lens function on and off, and alter the focal spot&#8217;s depth, diameter and intensity. Switching occurs as fast as the control beam is modulated and therefore tens of gigahertz modulation bandwidth is possible with electro-optical modulators, which is orders of magnitude faster than conventional dynamic focusing technologies.</p>",<p>视觉，显微镜，成像，光学数据的投影和存储都取决于光的聚焦。传统上，动态聚焦是使用可机械重新配置的镜头，空间光调制器或微流体技术实现的。在这里，我们证明可以通过在细光束分离器上光波的相干相互作用来实现聚焦的动态控制。我们使用亚波长厚度的纳米结构等离子超表面作为分束器，允许在相干吸收和相干透明的范围内操作。由菲涅耳带状图案照射等离子超表面所产生的光的聚焦由投射在同一超表面上的另一个带图案的光束控制。通过更改控制模式，其相位或强度，可以打开和关闭镜头功能，并更改焦点的深度，直径和强度。切换的速度与控制光束的调制速度一样快，因此使用电光调制器可以达到数十GHz的调制带宽，这比传统的动态聚焦技术快了几个数量级。</ p> 
10.1038/lsa.2017.161,Ultra-fast polymer optical fibre Bragg grating inscription for medical devices,用于医疗设备的超快聚合物光纤布拉格光栅铭文 ,"<p>We report the extraordinary result of rapid fibre Bragg grating inscription in doped polymer optical fibres based on polymethyl methacrylate in only 7&#8201;ms, which is two orders of magnitude faster than the inscription times previously reported. This was achieved using a new dopant material, diphenyl disulphide, which was found to enable a fast, positive refractive index change using a low ultraviolet dose. These changes were investigated and found to arise from photodissociation of the diphenyl disulphide molecule and subsequent molecular reorganization. We demonstrate that gratings inscribed in these fibres can exhibit at least a 15 times higher sensitivity than silica glass fibre, despite their quick inscription times. As a demonstration of the sensitivity, we selected a highly stringent situation, namely, the monitoring of a human heartbeat and respiratory functions. These findings could permit the inscription of fibre Bragg gratings during the fibre drawing process for mass production, allowing cost-effective, single-use, in vivo sensors among other potential uses.</p>",我们在7毫秒内报告了基于聚甲基丙烯酸甲酯的掺杂聚合物光纤中快速布拉格光栅刻写的非凡结果，这比以前报道的刻写时间快了两个数量级。这是使用新型掺杂剂材料二苯基二硫化物实现的，发现使用低紫外线剂量可以实现快速正折射率变化。研究了这些变化，发现这些变化是由二苯基二硫化物分子的光解离和随后的分子重组引起的。我们证明，尽管刻写时间短，但刻在这些光纤中的光栅可以显示出比石英玻璃纤维高至少15倍的灵敏度。为了说明这种敏感性，我们选择了一种非常严格的情况，即对人的心跳和呼吸功能的监视。这些发现可能会在光纤拉丝过程中将光纤布拉格光栅铭刻成大规模生产，从而在其他潜在用途中实现具有成本效益的一次性使用的体内传感器。</ p> 
10.1038/lsa.2017.162,X-ray focusing with efficient high-NA multilayer Laue lenses,使用高效的高NA多层Laue透镜进行X射线聚焦 ,"<p>Multilayer Laue lenses are volume diffraction elements for the efficient focusing of X-rays. With a new manufacturing technique that we introduced, it is possible to fabricate lenses of sufficiently high numerical aperture (NA) to achieve focal spot sizes below 10&#8201;nm. The alternating layers of the materials that form the lens must span a broad range of thicknesses on the nanometer scale to achieve the necessary range of X-ray deflection angles required to achieve a high NA. This poses a challenge to both the accuracy of the deposition process and the control of the materials properties, which often vary with layer thickness. We introduced a new pair of materials&#8212;tungsten carbide and silicon carbide&#8212;to prepare layered structures with smooth and sharp interfaces and with no material phase transitions that hampered the manufacture of previous lenses. Using a pair of multilayer Laue lenses (MLLs) fabricated from this system, we achieved a two-dimensional focus of 8.4 &#215; 6.8&#8201;nm<sup>2</sup> at a photon energy of 16.3&#8201;keV with high diffraction efficiency and demonstrated scanning-based imaging of samples with a resolution well below 10&#8201;nm. The high NA also allowed projection holographic imaging with strong phase contrast over a large range of magnifications. An error analysis indicates the possibility of achieving 1&#8201;nm focusing.</p>",<p>多层Laue透镜是用于有效聚焦X射线的体衍射元件。利用我们引入的新制造技术，可以制造出具有足够高的数值孔径（NA）的透镜，以实现焦点尺寸小于10纳米。形成透镜的材料的交替层必须跨越纳米级的宽范围的厚度，以获得实现高NA所需的必要的X射线偏转角范围。这对沉积工艺的准确性和材料特性的控制都提出了挑战，而后者通常随层厚度而变化。我们引入了一对新的材料-碳化钨和碳化硅-来制备具有光滑而尖锐的界面且没有相变会妨碍以前的镜片制造的分层结构。使用由该系统制造的一对多层劳厄透镜（MLL），我们获得了8.4＆＃215;的二维焦点。在光子能量为16.3kev的情况下具有6.8nm的sup> 2 </ sup>，具有较高的衍射效率，并证明了基于扫描的成像样品的分辨率远低于10nm。高NA还允许在较大的放大倍率下具有强相衬的投影全息成像。误差分析表明有可能实现1纳米聚焦。</ p> 
10.1038/lsa.2017.163,Quantum enhancement of accuracy and precision in optical interferometry,光学干涉仪中量子精度和精确度的提高 ,"<p>White-light interferometry is one of today&#8217;s most precise tools for determining the properties of optical materials. Its achievable precision and accuracy are typically limited by systematic errors due to a high number of interdependent data-fitting parameters. Here, we introduce spectrally resolved quantum white-light interferometry as a novel tool for optical property measurements, notably, chromatic dispersion in optical fibres. By exploiting both spectral and photon-number correlations of energy-time entangled photon pairs, the number of fitting parameters is significantly reduced, which eliminates systematic errors and leads to an absolute determination of the material parameter. By comparing the quantum method to state-of-the-art approaches, we demonstrate the quantum advantage of 2.4 times better measurement precision, despite requiring 62 times fewer photons. The improved results are due to conceptual advantages enabled by quantum optics, which are likely to define new standards in experimental methods for characterising optical materials.</p>",<p>白光干涉测量法是当今用于确定光学材料特性的最精确工具之一。由于大量相互依赖的数据拟合参数，其可实现的精度和准确性通常受到系统误差的限制。在这里，我们介绍光谱分辨量子白光干涉测量法，将其作为测量光学特性（尤其是光纤中的色散）的新颖工具。通过利用能量时间纠缠光子对的光谱和光子数相关性，拟合参数的数量显着减少，这消除了系统误差并导致了材料参数的绝对确定。通过将量子方法与最先进的方法进行比较，我们证明了尽管需要的光子数量减少了62倍，但测量精度提高了2.4倍。改进的结果归因于量子光学技术在概念上的优势，这有可能在表征光学材料的实验方法中定义新的标准。</ p> 
10.1038/lsa.2017.170,Near-infrared and mid-infrared semiconductor broadband light emitters,近红外和中红外半导体宽带光发射器 ,"<p>Semiconductor broadband light emitters have emerged as ideal and vital light sources for a range of biomedical sensing/imaging applications, especially for optical coherence tomography systems. Although near-infrared broadband light emitters have found increasingly wide utilization in these imaging applications, the requirement to simultaneously achieve both a high spectral bandwidth and output power is still challenging for such devices. Owing to the relatively weak amplified spontaneous emission, as a consequence of the very short non-radiative carrier lifetime of the inter-subband transitions in quantum cascade structures, it is even more challenging to obtain desirable mid-infrared broadband light emitters. There have been great efforts in the past 20 years to pursue high-efficiency broadband optical gain and very low reflectivity in waveguide structures, which are two key factors determining the performance of broadband light emitters. Here we describe the realization of a high continuous wave light power of &gt;20&#8201;mW and broadband width of &gt;130&#8201;nm with near-infrared broadband light emitters and the first mid-infrared broadband light emitters operating under continuous wave mode at room temperature by employing a modulation p-doped InGaAs/GaAs quantum dot active region with a &#8216;J&#8217;-shape ridge waveguide structure and a quantum cascade active region with a dual-end analogous monolithic integrated tapered waveguide structure, respectively. This work is of great importance to improve the performance of existing near-infrared optical coherence tomography systems and describes a major advance toward reliable and cost-effective mid-infrared imaging and sensing systems, which do not presently exist due to the lack of appropriate low-coherence mid-infrared semiconductor broadband light sources.</p>",<p>半导体宽带发光器已经成为各种生物医学传感/成像应用的理想和重要光源，特别是对于光学相干断层扫描系统。尽管近红外宽带光发射器在这些成像应用中发现了越来越广泛的应用，但是对于这样的设备，同时实现高光谱带宽和输出功率的要求仍然是挑战。由于量子级联结构中子带间跃迁的非常短的非辐射载流子寿命，由于相对较弱的放大自发发射，获得理想的中红外宽带光发射器甚至更具挑战性。在过去的20年中，人们一直在努力追求高效率的宽带光增益和波导结构中的极低反射率，这是决定宽带光发射器性能的两个关键因素。在这里，我们描述了使用近红外宽带光发射器和在连续条件下工作的第一个中红外宽带光发射器实现的大于20＆mdash; mW的高连续波光功率和＆gt; 130＆＃8201; nm的宽带宽度通过采用具有J形脊形波导结构的调制p掺杂InGaAs / GaAs量子点有源区和带有双端类似单片集成锥形波导的量子级联有源区，在室温下实现波模式结构。这项工作对于提高现有近红外光学相干断层扫描系统的性能非常重要，并描述了朝着可靠且具有成本效益的中红外成像和传感系统的重大进步，由于缺乏适当的低功率，该系统目前不存在相干中红外半导体宽带光源。</ p> 
