doi,title,title_cn,abstract,abstract_cn
10.1038/lsa.2017.54,Continuous-wave laser operation of a dipole antenna terahertz microresonator,偶极天线太赫兹微谐振器的连续波激光操作 ,"<p>Resonators and the way they couple to external radiation rely on very different concepts if one considers devices belonging to the photonic and electronic worlds. The terahertz frequency range, however, provides intriguing possibilities for the development of hybrid technologies that merge ideas from both fields in novel functional designs. In this paper, we show that high-quality, subwavelength, whispering-gallery lasers can be combined to form a linear dipole antenna, which creates a very efficient, low-threshold laser emission in a collimated beam pattern. For this purpose, we employ a terahertz quantum-cascade active region patterned into two 19-&#956;m-radius microdisks coupled by a suspended metallic bridge, which simultaneously acts as an inductive antenna and produces the dipole symmetry of the lasing mode. Continuous-wave vertical emission is demonstrated at approximately 3.5&#8201;THz in a very regular, low-divergence (&#177;10&#176;) beam, with a high slope efficiency of at least 160&#8201;mW&#8201;A<sup>&#8722;1</sup> and a mere 6&#8201;mA of threshold current, which is ensured by the ultra-small resonator size (V<sub>RES</sub>/&#955;<sup>3</sup>&#8776;10<sup>&#8722;2</sup>). The extremely low power consumption and the superior beam brightness make this concept very promising for the development of miniaturized and portable THz sources to be used in the field for imaging and sensing applications as well as for exploring novel optomechanical intracavity effects.</p>",<p>如果人们认为属于光子和电子世界的设备，则谐振器及其与外部辐射的耦合方式将有很大不同。太赫兹频率范围为混合技术的发展提供了有趣的可能性，这些技术将来自两个领域的想法融合到了新颖的功能设计中。在本文中，我们证明了可以将高质量，亚波长的耳语画廊激光器组合在一起，以形成线性偶极天线，从而以准直的波束图产生非常有效的低阈值激光发射。为此，我们采用了太赫兹量子级联有源区，该有源区被图案化为两个由悬浮金属桥耦合的19-m半径微盘，该金属盘同时用作感应天线并产生激光模式的偶极对称性。在非常规则的低发散（＆＃177; 10＆＃176;）光束中，连续波垂直发射在约3.5＆＃8201; THz处被演示，其高斜率效率至少为160＆＃8201; mW＆＃8201 ; A <sup>＆＃8722; 1 </ sup>和仅为阈值电流的6＆＃8201; mA，这是由超小谐振器尺寸（V <sub> RES </ sub> /＆＃955 ; <sup> 3 </ sup>＆＃8776; 10 <sup>＆＃8722; 2 </ sup>）。极低的功耗和出色的光束亮度使该概念对于开发用于成像和传感应用领域的小型便携式THz光源以及探索新型光机械腔内效应非常有希望。</ p> 
10.1038/lsa.2017.57,Tailoring of electromagnetic field localizations by two-dimensional graphene nanostructures,二维石墨烯纳米结构的电磁场局部化 ,"<p>Graphene has great potential for enhancing light&#8722;matter interactions in a two-dimensional regime due to surface plasmons with low loss and strong light confinement. Further utilization of graphene in nanophotonics relies on the precise control of light localization properties. Here, we demonstrate the tailoring of electromagnetic field localizations in the mid-infrared region by precisely shaping the graphene into nanostructures with different geometries. We generalize the phenomenological cavity model and employ nanoimaging techniques to quantitatively calculate and experimentally visualize the two-dimensional electromagnetic field distributions within the nanostructures, which indicate that the electromagnetic field can be shaped into specific patterns depending on the shapes and sizes of the nanostructures. Furthermore, we show that the light localization performance can be further improved by reducing the sizes of the nanostructures, where a lateral confinement of &#955;<sub>0</sub>/180 of the incidence light can be achieved. The electromagnetic field localizations within a nanostructure with a specific geometry can also be modulated by chemical doping. Our strategies can, in principle, be generalized to other two-dimensional materials, therefore providing new degrees of freedom for designing nanophotonic components capable of tailoring two-dimensional light confinement over a broad wavelength range.</p>",<p>由于具有低损耗和强光限制的表面等离激元，石墨烯在二维机制中具有增强光相互作用的巨大潜力。石墨烯在纳米光子学中的进一步利用取决于对光定位特性的精确控制。在这里，我们通过将石墨烯精确地成型为具有不同几何形状的纳米结构，展示了在中红外区域中电磁场定位的定制。我们对现象腔模型进行了概括，并采用纳米成像技术对纳米结构内的二维电磁场分布进行定量计算和实验可视化，这表明可以根据纳米结构的形状和大小将电磁场成形为特定的图案。此外，我们表明，通过减小纳米结构的尺寸可以进一步提高光定位性能，其中可以实现入射光的＆＃955; <sub> 0 </ sub> / 180的横向限制。具有特定几何形状的纳米结构内的电磁场定位也可以通过化学掺杂来调节。从原则上讲，我们的策略可以推广到其他二维材料，因此为设计纳米光子组件提供了新的自由度，这些组件可以在宽泛的波长范围内对二维光进行限制。</ p> 
10.1038/lsa.2017.60,Enhanced second-harmonic generation from two-dimensional MoSe2 on a silicon waveguide,硅波导上二维MoSe2增强的二次谐波生成 ,"<p>Two-dimensional transition-metal dichalcogenides (TMDCs) with intrinsically broken crystal inversion symmetry and large second-order nonlinear responses have shown great promise for future nonlinear light sources. However, the sub-nanometer monolayer thickness of such materials limits the length of their nonlinear interaction with light. Here, we experimentally demonstrate the enhancement of the second-harmonic generation from monolayer MoSe<sub>2</sub> by its integration onto a 220-nm-thick silicon waveguide. Such on-chip integration allows for a marked increase in the interaction length between the MoSe<sub>2</sub> and the waveguide mode, further enabling phase matching of the nonlinear process. The demonstrated TMDC&#8211;silicon photonic hybrid integration opens the door to second-order nonlinear effects within the silicon photonic platform, including efficient frequency conversion, parametric amplification and the generation of entangled photon pairs.</p>",<p>具有固有破碎的晶体反转对称性和较大的二阶非线性响应的二维过渡金属二硫属化合物（TMDC）对未来的非线性光源显示出了广阔的前景。 然而，这种材料的亚纳米单层厚度限制了它们与光的非线性相互作用的长度。 在这里，我们通过实验证明了通过将单层MoSe <sub> 2 </ sub>集成到厚度为220 nm的硅波导中，可以增强第二谐波的产生。 这种片上集成可显着增加MoSe <sub> 2 </ sub>与波导模式之间的相互作用长度，从而进一步实现非线性过程的相位匹配。 演示的TMDC＆＃8211;硅光子混合集成为硅光子平台内的二阶非线性效应打开了大门，包括有效的频率转换，参数放大和光子对纠缠的产生。</ p> 
10.1038/lsa.2017.61,Single whispering-gallery mode lasing in polymer bottle microresonators via spatial pump engineering,通过空间泵工程在聚合物瓶微谐振器中进行单耳语-画廊模式激光发射 ,"<p>Single-mode lasing in whispering-gallery mode (WGM) microresonators is challenging to achieve. In bottle microresonators, the highly non-degenerated WGMs are spatially well-separated along the long-axis direction and provide mode-selection capability. In this work, by engineering the pump intensity to modify the spatial gain profiles of bottle microresonators, we demonstrate a simple and general approach to realizing single-mode WGM lasing in polymer bottle microresonators. The pump intensity is engineered into an interference distribution on the bottle microresonator surface. By tuning the spacing between axial positions of the interference pump patterns, the mode intensity profiles of single-bottle WGMs can be spatially overlapped with the interference stripes, intrinsically enabling single-mode lasing and selection. Attractive advantages of the system, including high side-mode suppression factors &gt;20&#8201;dB, large spectral tunability &gt;8&#8201;nm, low-lasing threshold and reversible control, are presented. Our demonstrated approach may have a variety of promising applications, ranging from tunable single-mode lasing and sensing to nonlinear optics.</p>",<p>在耳语画廊模式（WGM）微谐振器中实现单模激光发射具有挑战性。在瓶型微谐振器中，高度不变质的WGM在长轴方向上在空间上是很好分离的，并具有模式选择功能。在这项工作中，通过设计泵浦强度来修改瓶子微谐振器的空间增益曲线，我们展示了一种简单而通用的方法来实现聚合物瓶子微谐振器中的单模WGM激光。泵浦强度被设计为在瓶子微谐振器表面上产生干扰分布。通过调整干涉泵模式的轴向位置之间的间距，单瓶WGM的模式强度轮廓可以在空间上与干涉条纹重叠，从而固有地实现单模式激光发射和选择。提出了该系统的吸引人的优点，包括高侧模抑制因子＆gt; 20＆＃8201; dB，大光谱可调性＆gt; 8＆＃8201; nm，低激光阈值和可逆控制。从可调谐的单模激光和传感到非线性光学，我们的方法论可能有各种各样的应用前景。</ p> 
10.1038/lsa.2017.66,Supercritical angle Raman microscopy: a surface-sensitive nanoscale technique without field enhancement,超临界角拉曼显微镜：无需场增强的表面敏感纳米级技术 ,"<p>Raman scattering microscopy is a versatile tool for label-free imaging and molecular fingerprint analysis. Here, we provide the first demonstration that the selective collection of scattered signals exceeding the critical angle for total internal reflection enables surface-confined spontaneous Raman investigations at nanometre resolution. This high-axial selectivity leads to improved signal-to-background ratios, thus making this technique an excellent probe for surface-related molecular specimens. The richness of the spectroscopic information obtained through the supercritical angle Raman (SAR) collection path was proven by comparing its output with that of a parallel far-field collection path. Furthermore, we demonstrated that the proposed SAR technique is a versatile microscopy approach that can be used alone or in combination with amplified Raman modalities such as surface-enhanced resonance Raman scattering.</p>",<p>拉曼散射显微镜是一种无标签成像和分子指纹分析的多功能工具。 在这里，我们提供了第一个证明，即选择性收集超过全内反射临界角的散射信号，可以在纳米分辨率下进行表面受限的自发拉曼研究。 这种高轴向选择性提高了信噪比，从而使该技术成为与表面相关的分子样本的极佳探针。 通过将超临界角拉曼（SAR）收集路径获得的光谱信息与平行远场收集路径的输出进行比较，证明了该光谱信息的丰富性。 此外，我们证明了所提出的SAR技术是一种通用的显微镜方法，可以单独使用，也可以与放大的拉曼模态（例如表面增强共振拉曼散射）结合使用。</ p> 
10.1038/lsa.2017.71,Enhanced optical performance of multifocal metalens with conic shapes,圆锥形多焦点金属增强光学性能 ,"<p>A multifocal metalens, which focuses incident light at multiple foci, has many applications in imaging systems and optical communications. However, the traditional design strategy of a multifocal metalens combines several lenses that have different focal points into a planar integrated unit, resulting in low imaging quality because of the high background noise. Here we show that the defects of the traditional method can be overcome by designing a metalens with conic shapes (the ellipse and the hyperbola); this approach could improve the imaging performance and substantially decrease the background noise of multifocal metalenses. These benefits arise from the intrinsic properties of the two conic curves, which can focus incident light constructively at all of the foci of the metalens. We further demonstrate that the proposed conic-shaped metalens can function well within a broadband operation wavelength that ranges from 600 to 900&#8201;nm with the dual polarity actively controlled by the incident circular polarized light. The great agreement between the experimental and simulation results demonstrates that our proposed metalens has significant potential for use in future integrated nanophotonic devices.</p>",<p>将焦点聚焦在多个焦点上的多焦点金属素在成像系统和光通信中有许多应用。但是，传统的多焦点金属化设计策略将具有不同焦点的多个透镜组合到一个平面集成单元中，由于背景噪声高，导致成像质量低下。在这里，我们表明，可以通过设计具有圆锥形状（椭圆形和双曲线）的金属元素来克服传统方法的缺陷；这种方法可以提高成像性能并显着降低多焦点金属感镜的背景噪声。这些好处来自两条圆锥曲线的固有特性，它们可以将入射光建设性地聚焦在金属元素的所有焦点上。我们进一步证明，提出的圆锥形金属元素可以在600至900 nm的宽带工作波长范围内很好地发挥作用，并且双极性由入射的圆偏振光主动控制。实验结果与模拟结果之间的高度吻合表明，我们提出的金属化合物在未来的集成纳米光子器件中具有巨大的潜力。</ p> 
10.1038/lsa.2017.72,Phase-controlled propagation of surface plasmons,表面等离子体激元的相控传播 ,"<p>Directional emission of electromagnetic radiation can be achieved using a properly shaped single antenna or a phased array of individual antennas. Control of the individual phases within an array enables scanning or other manipulations of the emission, and it is this property of phased arrays that makes them attractive in modern systems. Likewise, the propagation of surface plasmons at the interface between metal films and dielectric materials can be determined by shaping the individual surface nanostructures or via the phase control of individual elements in an array of such structures. Here, we demonstrate control of the propagation of surface plasmons within a linear array of nanostructures. The generic situation of plasmonic surface propagation that is different on both sides of a metal film provides a unique opportunity for such control: plasmons propagating on the slower side feed into the side with the faster propagation, creating a phased array of interfering antennas and thus controlling the directionality of the wake fields. We further show that by shaping the individual nanoantennas, we can generate an asymmetric propagation geometry.</p>",使用适当形状的单个天线或单个天线的相控阵可以实现电磁辐射的定向发射。对阵列内各个相的控制可实现发射的扫描或其他操纵，正是相控阵的这一特性使它们在现代系统中具有吸引力。同样，可以通过使各个表面纳米结构成形或通过这样的结构阵列中的各个元素的相位控制来确定在金属膜和介电材料之间的界面处的表面等离子体激元的传播。在这里，我们演示了线性等离子体纳米结构阵列内表面等离激元的传播控制。在金属膜的两侧不同的等离子表面传播的一般情况为这种控制提供了独特的机会：在较慢的一侧传播的等离激元会以较快的传播馈入到一侧，从而形成相控阵的干扰天线，从而进行控制尾波场的方向性。我们进一步证明，通过对单个纳米天线进行整形，可以生成不对称的传播几何。</ p> 
10.1038/lsa.2017.75,Long-lived electron emission reveals localized plasmon modes in disordered nanosponge antennas,长寿命电子发射揭示了无序纳米海绵天线中的局部等离激元模式 ,"<p>We report long-lived, highly spatially localized plasmon states on the surface of nanoporous gold nanoparticles&#8212;nanosponges&#8212;with high excitation efficiency. It is well known that disorder on the nanometer scale, particularly in two-dimensional systems, can lead to plasmon localization and large field enhancements, which can, in turn, be used to enhance nonlinear optical effects and to study and exploit quantum optical processes. Here, we introduce promising, three-dimensional model systems for light capture and plasmon localization as gold nanosponges that are formed by the dewetting of gold/silver bilayers and dealloying. We study light-induced electron emission from single nanosponges, a nonlinear process with exponents of n&#8776;5...7, using ultrashort laser pulse excitation to achieve femtosecond time resolution. The long-lived electron emission process proves, in combination with optical extinction measurements and finite-difference time-domain calculations, the existence of localized modes with lifetimes of more than 20&#8201;fs. These electrons couple efficiently to the dipole antenna mode of each individual nanosponge, which in turn couples to the far-field. Thus, individual gold nanosponges are cheap and robust disordered nanoantennas with strong local resonances, and an ensemble of nanosponges constitutes a meta material with a strong polarization independent, nonlinear response over a wide frequency range.</p>",<p>我们报道了具有高激发效率的纳米多孔金纳米颗粒表面上的长寿命，高空间局部等离激元态。众所周知，特别是在二维系统中，纳米级的无序可以导致等离子体激元的局域化和大场增强，进而可以用来增强非线性光学效应以及研究和利用量子光学过程。在这里，我们介绍了有前途的三维模型系统，用于光捕获和等离激元定位，作为金纳米海绵，由金/银双层去湿和脱合金形成。我们使用超短激光脉冲激发来实现飞秒时间分辨率，研究了单纳米海绵的光诱导电子发射，这是一个指数为n＆＃8776; 5 ... 7的非线性过程。长寿命的电子发射过程与光学消光测量和时域有限差分计算相结合，证明了存在寿命超过20 fs的局部模式。这些电子有效地耦合到每个单个纳米海绵的偶极天线模式，进而耦合到远场。因此，单个金纳米海绵是便宜且坚固的无序纳米天线，具有较强的局部共振，并且纳米海绵的整体构成了一种在宽频率范围内具有强偏振无关非线性响应的超材料。</ p> 
10.1038/lsa.2017.76,Mid-infrared dual-comb spectroscopy with electro-optic modulators,带电光调制器的中红外双梳状光谱 ,"<p>Absorption spectroscopy of fundamental ro-vibrational transitions in the mid-infrared region provides a powerful tool for studying the structure and dynamics of molecules in the gas phase and for sensitive and quantitative gas sensing. Laser frequency combs permit novel approaches to perform broadband molecular spectroscopy. Multiplex dual-comb spectroscopy without moving parts can achieve particularly high speed, sensitivity and resolution. However, achieving Doppler-limited resolution in the mid-infrared still requires overcoming instrumental challenges. Here we demonstrate a new approach based on difference-frequency generation of frequency-agile near-infrared frequency combs that are produced using electro-optic modulators. The combs have a remarkably flat intensity distribution, and their positions and line spacings can be freely selected by simply dialing a knob. Using the proposed technique, we record, in the 3-&#956;m region, Doppler-limited absorption spectra with resolved comb lines within milliseconds, and precise molecular line parameters are retrieved. Our technique holds promise for fast and sensitive time-resolved studies of, for example, trace gases.</p>",<p>中红外区基本旋转振动跃迁的吸收光谱为研究气相中分子的结构和动力学以及灵敏和定量的气体传感提供了强大的工具。激光频率梳允许新颖的方法来执行宽带分子光谱学。无需移动部件的多重双梳光谱技术可实现极高的速度，灵敏度和分辨率。但是，要在中红外达到多普勒限制的分辨率，仍然需要克服仪器方面的挑战。在这里，我们展示了一种基于电光调制器产生的频率捷变近红外频率梳的差分频率生成的新方法。梳子的强度分布非常平坦，只需拨一下旋钮即可自由选择其位置和行距。使用提出的技术，我们在3-＆＃956; m区域中记录了多普勒限定的吸收光谱，其中毫秒内解析了梳状线，并检索了精确的分子线参数。我们的技术为例如痕量气体的快速灵敏的时间分辨研究提供了希望。</ p> 
10.1038/lsa.2017.81,Automated design of freeform imaging systems,自由形式成像系统的自动化设计 ,"<p>The automated design of imaging systems involving no or minimal human effort has always been the expectation of scientists, researchers and optical engineers. In addition, it is challenging to choose an appropriate starting point for an optical system design. In this paper, we present a novel design framework based on a point-by-point design process that can automatically obtain high-performance freeform systems. This framework only requires a combination of planes as the input based on the configuration requirements or the prior knowledge of designers. This point-by-point design framework is different from the decades-long tradition of optimizing surface coefficients. Compared with the traditional design method, whereby the selection of the starting point and the optimization process are independent of each other and require extensive amount of human effort, there are no obvious differences between these two processes in our design framework, and the entire design process is mostly automated. This automated design process significantly reduces the amount of human effort required and does not rely on advanced design skills and experience. To demonstrate the feasibility of the proposed design framework, we successfully designed two high-performance systems as examples. This point-by-point design framework opens up new possibilities for automated optical design and can be used to develop automated optical design in the areas of remote sensing, telescopy, microscopy, spectroscopy, virtual reality and augmented reality.</p>",<p>成像系统的自动化设计几乎不需要人工，也一直是科学家，研究人员和光学工程师的期望。此外，为光学系统设计选择合适的起点也是一项挑战。在本文中，我们提出了一个基于点对点设计过程的新颖设计框架，该框架可以自动获取高性能的自由形式系统。根据配置要求或设计人员的先验知识，此框架仅需要将平面的组合作为输入。这种逐点设计框架不同于数十年来优化表面系数的传统。与传统设计方法相比，起点和优化过程的选择彼此独立，并且需要大量的人工，相比之下，在我们的设计框架和整个设计过程中，这两个过程之间没有明显的区别大部分是自动化的。这种自动化的设计过程大大减少了所需的人力，并且不依赖于先进的设计技能和经验。为了证明所提出的设计框架的可行性，我们成功设计了两个高性能系统作为示例。这种逐点设计框架为自动化光学设计开辟了新的可能性，可用于在遥感，望远镜，显微镜，光谱学，虚拟现实和增强现实领域开发自动化光学设计。</ p> 
