contentType,title,abstract,abstract_google_cn,affiliations,authorization,authors,citation_text,count_accesses,count_altmetric,count_citations,documentType,doi,doi_url,focus,issue,journal_pcode,journal_title,publishedAt,publishedAtString,subjects,url,volume
editorial,Form follows need,,,[],True,[],"Form follows need. Nature Phys12, 285 (2016).",322,9,0,aplusplus,10.1038/nphys3731,https://doi.org/10.1038/nphys3731,,4,nphys,nature physics,1459468800,2016-04-01,history;publishing;scientific-community,https://www.nature.com/articles/nphys3731,12
thesis,Bringing Young to life,,,[],True,['Mark Buchanan'],"Buchanan, M. Bringing Young to life. Nature Phys12, 286 (2016).",28,5,0,aplusplus,10.1038/nphys3718,https://doi.org/10.1038/nphys3718,,4,nphys,nature physics,1459468800,2016-04-01,education;quantum-optics;single-photons-and-quantum-effects,https://www.nature.com/articles/nphys3718,12
research highlights,Back to the beginning,,,[],True,['May Chiao'],"Chiao, M. Back to the beginning. Nature Phys12, 287 (2016).",27,1,0,aplusplus,10.1038/nphys3725,https://doi.org/10.1038/nphys3725,,4,nphys,nature physics,1459468800,2016-04-01,galaxies-and-clusters,https://www.nature.com/articles/nphys3725,12
research highlights,Dimensionality matters,,,[],True,['Bart Verberck'],"Verberck, B. Dimensionality matters. Nature Phys12, 287 (2016).",51,0,0,aplusplus,10.1038/nphys3726,https://doi.org/10.1038/nphys3726,,4,nphys,nature physics,1459468800,2016-04-01,colloids;phase-transitions-and-critical-phenomena;surfaces-interfaces-and-thin-films;two-dimensional-materials,https://www.nature.com/articles/nphys3726,12
research highlights,Back-street ploys,,,[],True,['Abigail Klopper'],"Klopper, A. Back-street ploys. Nature Phys12, 287 (2016).",34,3,3,aplusplus,10.1038/nphys3727,https://doi.org/10.1038/nphys3727,,4,nphys,nature physics,1459468800,2016-04-01,complex-networks,https://www.nature.com/articles/nphys3727,12
research highlights,Sound out,,,[],True,['Luke Fleet'],"Fleet, L. Sound out. Nature Phys12, 287 (2016).",75,2,0,aplusplus,10.1038/nphys3728,https://doi.org/10.1038/nphys3728,,4,nphys,nature physics,1459468800,2016-04-01,acoustics;spintronics,https://www.nature.com/articles/nphys3728,12
research highlights,A whale of a job,,,[],True,['Andrea Taroni'],"Taroni, A. A whale of a job. Nature Phys12, 287 (2016).",30,4,0,aplusplus,10.1038/nphys3729,https://doi.org/10.1038/nphys3729,,4,nphys,nature physics,1459468800,2016-04-01,acoustics;animal-behaviour;computational-biophysics,https://www.nature.com/articles/nphys3729,12
news & views,A topological charge pump,,,"[{'address': 'Roberta Citro is at Dipartimento di Fisica “E. R. Caianiello”, Università di Salerno and Spin-CNR, I-84084 Fisciano, Italy', 'authors': ['Roberta Citro']}]",False,['Roberta Citro'],"Citro, R. A topological charge pump. Nature Phys12, 288–289 (2016).",400,7,8,aplusplus,10.1038/nphys3649,https://doi.org/10.1038/nphys3649,,4,nphys,nature physics,1453075200,2016-01-18,quantum-hall;ultracold-gases,https://www.nature.com/articles/nphys3649,12
news & views,Foundation check,,,[],True,['Luke Fleet'],"Fleet, L. Foundation check. Nature Phys12, 289 (2016).",36,9,0,aplusplus,10.1038/nphys3723,https://doi.org/10.1038/nphys3723,,4,nphys,nature physics,1459468800,2016-04-01,architecture;history,https://www.nature.com/articles/nphys3723,12
news & views,Isolating the gap,,,"[{'address': 'Nigel Hussey is at High Field Magnet Laboratory (HFML-EMFL), Institute of Molecules and Materials, Radboud University, Toernooiveld 7, 6525 ED, Nijmegen, The Netherlands', 'authors': ['Nigel Hussey']}]",False,['Nigel Hussey'],"Hussey, N. Isolating the gap. Nature Phys12, 290–291 (2016).",102,9,5,aplusplus,10.1038/nphys3716,https://doi.org/10.1038/nphys3716,,4,nphys,nature physics,1459468800,2016-04-01,electronic-properties-and-materials;superconducting-properties-and-materials,https://www.nature.com/articles/nphys3716,12
