contentType,title,abstract,abstract_google_cn,affiliations,authorization,authors,citation_text,count_accesses,count_altmetric,count_citations,documentType,doi,doi_url,focus,issue,journal_pcode,journal_title,publishedAt,publishedAtString,subjects,url,volume
editorial,Upping the anti,,,[],True,[],"Upping the anti. Nature Phys14, 199 (2018).",1415,48,4,aplusplus,10.1038/s41567-018-0091-2,https://doi.org/10.1038/s41567-018-0091-2,Antiferromagnetic spintronics,3,nphys,nature physics,1519948800,2018-03-02,magnetic-properties-and-materials;spintronics,https://www.nature.com/articles/s41567-018-0091-2,14
comment,The multiple directions of antiferromagnetic spintronics,,,"[{'address': 'Institute of Physics, Academy of Sciences of the Czech Republic, Praha, Czech Republic', 'authors': ['T. Jungwirth', ',\xa0J. Sinova', ',\xa0X. Marti', '\xa0&\xa0J. Wunderlich']}, {'address': 'School of Physics and Astronomy, University of Nottingham, Nottingham, UK', 'authors': ['T. Jungwirth']}, {'address': 'Institut für Physik, Johannes Gutenberg Universität Mainz, Mainz, Germany', 'authors': ['J. Sinova']}, {'address': 'Physical Science and Engineering Division, King Abdullah University of Science and Technology (KAUST), Thuwal, Saudi Arabia', 'authors': ['A. Manchon']}, {'address': 'IGS Research, Calle La Coma, Tarragona, Spain', 'authors': ['X. Marti']}, {'address': 'Hitachi Cambridge Laboratory, Cambridge, UK', 'authors': ['J. Wunderlich']}, {'address': 'Max Planck Institute for Chemical Physics of Solids, Dresden, Germany', 'authors': ['C. Felser']}]",False,"['T. Jungwirth', 'J. Sinova', 'A. Manchon', 'X. Marti', 'J. Wunderlich', 'C. Felser']","Jungwirth, T., Sinova, J., Manchon, A. et al. The multiple directions of antiferromagnetic spintronics. Nature Phys14, 200–203 (2018).",5171,4,92,aplusplus,10.1038/s41567-018-0063-6,https://doi.org/10.1038/s41567-018-0063-6,Antiferromagnetic spintronics,3,nphys,nature physics,1519948800,2018-03-02,electronic-and-spintronic-devices;magnetic-properties-and-materials,https://www.nature.com/articles/s41567-018-0063-6,14
thesis,Understanding the microbiome,,,"[{'address': 'Nature Physics', 'authors': ['Mark Buchanan']}]",True,['Mark Buchanan'],"Buchanan, M. Understanding the microbiome. Nature Phys14, 204 (2018).",117,10,0,aplusplus,10.1038/s41567-018-0067-2,https://doi.org/10.1038/s41567-018-0067-2,,3,nphys,nature physics,1519948800,2018-03-02,biological-physics;microbiome,https://www.nature.com/articles/s41567-018-0067-2,14
books & arts,Universal Bach,,,"[{'address': 'Nature Physics', 'authors': ['Adam Cox']}]",True,['Adam Cox'],"Cox, A. Universal Bach. Nature Phys14, 205 (2018).",62,4,0,aplusplus,10.1038/s41567-018-0073-4,https://doi.org/10.1038/s41567-018-0073-4,,3,nphys,nature physics,1519948800,2018-03-02,science-in-culture,https://www.nature.com/articles/s41567-018-0073-4,14
research highlight,Turbulent rain,,,"[{'address': 'Nature Physics', 'authors': ['Andreas H. Trabesinger']}]",True,['Andreas H. Trabesinger'],"Trabesinger, A.H. Turbulent rain. Nature Phys14, 206 (2018).",115,1,0,aplusplus,10.1038/s41567-018-0084-1,https://doi.org/10.1038/s41567-018-0084-1,,3,nphys,nature physics,1519948800,2018-03-02,atmospheric-dynamics;thermodynamics,https://www.nature.com/articles/s41567-018-0084-1,14
research highlight,Stretch it and see,,,"[{'address': 'Nature Physics', 'authors': ['David Abergel']}]",True,['David Abergel'],"Abergel, D. Stretch it and see. Nature Phys14, 206 (2018).",52,1,1,aplusplus,10.1038/s41567-018-0085-0,https://doi.org/10.1038/s41567-018-0085-0,,3,nphys,nature physics,1519948800,2018-03-02,imaging-techniques;nonlinear-optics;structure-of-solids-and-liquids,https://www.nature.com/articles/s41567-018-0085-0,14
research highlight,Control from above,,,"[{'address': 'Nature Physics', 'authors': ['Federico Levi']}]",True,['Federico Levi'],"Levi, F. Control from above. Nature Phys14, 206 (2018).",25,1,0,aplusplus,10.1038/s41567-018-0086-z,https://doi.org/10.1038/s41567-018-0086-z,,3,nphys,nature physics,1519948800,2018-03-02,astronomical-instrumentation;high-energy-astrophysics,https://www.nature.com/articles/s41567-018-0086-z,14
research highlight,Ultrarapid microquakes,,,"[{'address': 'Nature Physics', 'authors': ['Jan Philip Kraack']}]",True,['Jan Philip Kraack'],"Kraack, J.P. Ultrarapid microquakes. Nature Phys14, 206 (2018).",44,0,0,aplusplus,10.1038/s41567-018-0087-y,https://doi.org/10.1038/s41567-018-0087-y,,3,nphys,nature physics,1519948800,2018-03-02,deformation-dynamics;mechanical-properties;microscopy;optical-tweezers;three-dimensional-imaging,https://www.nature.com/articles/s41567-018-0087-y,14
research highlight,Polaronic spectacle,,,"[{'address': 'Nature Physics', 'authors': ['Yun Li']}]",True,['Yun Li'],"Li, Y. Polaronic spectacle. Nature Phys14, 206 (2018).",75,1,0,aplusplus,10.1038/s41567-018-0088-x,https://doi.org/10.1038/s41567-018-0088-x,,3,nphys,nature physics,1519948800,2018-03-02,ultracold-gases,https://www.nature.com/articles/s41567-018-0088-x,14
news & views,Symmetry-breaking spirals,,,"[{'address': 'Department of Physics and Astronomy at the University of Calgary, Calgary, AB, Canada', 'authors': ['Jörn Davidsen']}]",False,['Jörn Davidsen'],"Davidsen, J. Symmetry-breaking spirals. Nature Phys14, 207–208 (2018).",189,4,1,aplusplus,10.1038/s41567-017-0014-7,https://doi.org/10.1038/s41567-017-0014-7,,3,nphys,nature physics,1512345600,2017-12-04,nonlinear-phenomena;statistical-physics,https://www.nature.com/articles/s41567-017-0014-7,14
